Title#0,"""Особая тренировка: Эпизод 1"""
Explanation#0,"""Это учебный квест для VR тренировок.<br>Главная цель - дойти до конечной<br>местности за отведённое время.<br>Вы пройдёте через различные события,<br>повстречавшихся ARKS, например,<br>появление Дарк Фальц [Элдера].<br>Тщательно проработайте план<br>в соответствии со своими возможностями.<br>――――――――――――――――――――<br>Лимит времени: 15мин.<br>Максимальный урон: 999999"""
SimpleExplanation#0,"""Победите всех врагов!"""
NpcComMsg1#0,"""Ну чтож, начнём особую<br>тренировку сразу же."""
NpcComMsg2#0,"""Эта тренировка будет закончена,<br>когда вы победите последнего<br>врага или время не закончится."""
NpcComMsg3#0,"""Старайтесь пройти как можно<br>быстрее. Удачи!"""
Area0S#0,"""Лестная местность 1"""
Area0L#0,"""Планета Набериус - Лестная местность 1"""
Area1S#0,"""Городская местность 2"""
Area1L#0,"""Корабль ARKS - Городская местность 2"""
Area2S#0,"""Местность Святилища 3"""
Area2L#0,"""Планета Амдуския - местность Святилища 3"""
Area3S#0,"""Местность Руин 4"""
Area3L#0,"""Планета Набериус - Местность Руин 4"""
Area4S#0,"""？？？？"""
Area4L#0,"""？？？？"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
