MainMenu_Title#0,"""Терминал восстановления"""
MainMenu_ChangeWeather#0,"""Изменить погоду"""
MainMenu_Refresh#0,"""Восстановить статус"""
MainMenu_GotoEsthe#0,"""Отправиться в салон"""
MainMenu_ReturnCampship#0,"""Вернуться на челнок"""
MainMenu_QuestClear#0,"""Завершить квест"""
MainMenu_LeaderOnly#0,"""Доступно только лидеру группы"""
MainMenu_CloseMenu#0,"""Закрыть"""
GotoEstheYesNo_Title#0,"""Уведомление"""
GotoEstheYesNo_Message#0,"""Как только вы отправитесь<br>в салон, ваш партнёр поддержки<br>выйдет из группы.<br>Вы уверены?"""
Button_Yes#0,"""Да"""
Button_No#0,"""Нет"""
QuestClearYesNo_Title#0,"""Подтверждение завершения квеста"""
QuestClearYesNo_Message#0,"""Желаете завершить квест?<br>※По завершении квеста, вы<br>переместитесь на челнок."""
ReturnCampshipYesNo_Title#0,"""Уведомление"""
ReturnCampshipYesNo_Message#0,"""Желаете вернуться на челнок?"""
Weather_Title#0,"""Выбор погоды"""
Weather1#0,"""1-я погода"""
Weather2#0,"""2-я погода"""
Weather3#0,"""3-я погода"""
Weather4#0,"""4-я погода"""
Weather5#0,"""5-я погода"""
Weather6#0,"""6-я погода"""
Weather7#0,"""7-я погода"""
Weather8#0,"""8-я погода"""
Weather9#0,"""9-я погода"""
Weather10#0,"""10-я погода"""
