name_7009#0,"""Орандже"""
ssn_014050_0001#0,"""Похоже, что вы наработали большой опыт работы ARKS."""
ssn_014050_0002#0,"""У меня к вам есть одна просьба.<br>Не могли бы вы меня выслушать?"""
ssn_014050_0101#0,"""Хи-хи... Вы приняли мой запрос.<br>Какая радость."""
ssn_014050_0102#0,"""По правде говоря, недавно в лесу Резол<br>обнаружили радиоволны невиданной длины."""
ssn_014050_0103#0,"""Похоже, что они каким-то образом<br>влияют на окружающих DOLLS."""
ssn_014050_0104#0,"""У меня пока не достаточно информации, чтобы судить об этом...<br>Не могли бы вы помочь мне с моим исследованием?"""
ssn_014050_0105#0,"""Я бы хотела получить запись всех встреч с DOLLS, принявших эти<br>радиоволны. Сделав это, возможно мы сможем что-то выяснить."""
ssn_014050_0106#0,"""Надеюсь на плодотворное сотрудничество."""
ssn_014050_0201#0,"""Жаль... Если захотите, приходите позже."""
ssn_014050_0301#0,"""Относиться к миссии серьёзно - это не плохо,<br>но не будьте слишком безрассудны."""
ssn_014050_0302#0,"""В случае возникновения черезвычайной ситуации, пожалуйста,<br>в первую очередь уделите внимание вашей безопасности."""
ssn_014050_0401#0,"""Это опасная миссия, так что будьте осторожны."""
ssn_014050_0402#0,"""Пожалуйста, позаботьтесь о Бурударе.<br>Надеюсь, вы благополучно вернётесь."""
