name_7001#0,"""มาน่อน"""
name_7026#0,"""ฟาเรีย (Pharia)"""
msn_022110_0010#0,"""นี่... พอจะมีเวลาไหม?"""
msn_022110_0020#0,"""ได้ยินมาจากฟาเรีย (Pharia) น่ะ..."""
msn_022110_0030#0,"""ทุกคนกำลังพยายาม... อย่างหนักเพื่อฉัน..."""
msn_022110_0040#0,"""ไม่ต้องทำ..."""
msn_022110_0050#0,"""...ไม่ต้องทำถึงขนาดนั้นก็ได้นะ..."""
msn_022110_0060#0,"""...เพื่อคนอย่างฉันน่ะ..."""
msn_022110_0070#0,"""...อ๊ะ..."""
msn_022110_0080#0,"""มาน่อน?"""
msn_022110_0090#0,"""..."""
msn_022110_0100#0,"""ดูเหมือนมาน่อนจะหมดสติไปอีกแล้วล่ะ"""
msn_022110_0110#0,"""พยายามจะห้ามเธอแล้วนะ แต่เธอไม่ยอมพักผ่อนจนกว่าจะได้คุยกับเธอน่ะ..."""
msn_022110_0120#0,"""ดูเหมือนมาน่อนจะเป็นห่วงเธอมากเลยล่ะ"""
msn_022110_0130#0,"""ได้โปรด นำ Liminal Sign กลับมาเพื่อมาน่อนด้วยเถอะนะ"""
