msc_022120_0010#0,"""พวกเราได้ Liminal Sign มาแล้วล่ะ"""
msc_022120_0020#0,"""...แต่ว่า มีปัญหาเล็กน้อยอยู่อย่างนึงนะ"""
msc_022120_0030#0,"""...ปริมาณที่เรามีอยู่ตอนนี้อาจจะไม่พอหรอก"""
msc_022120_0040#0,"""...ไม่พอเหรอ?"""
msc_022120_0050#0,"""Liminal Sign เคยถูกใช้เพื่อฟื้นฟูอาการลดลงอย่างฉับพลันของ Photon ภายในร่างกายค่ะ"""
msc_022120_0060#0,"""แต่เพื่อให้ได้ผลลัพธ์นั้น จำเป็นต้องใช้หลายอันค่ะ"""
msc_022120_0070#0,"""...เอาจริงดิ?"""
msc_022120_0080#0,"""แล้วเรากำลังพูดถึงจำนวนเท่าไหร่กันล่ะ?"""
msc_022120_0090#0,"""ฉันไม่ทราบจำนวนที่แน่ชัดค่ะ"""
msc_022120_0100#0,"""พูดง่ายๆ ก็คือ เราควรจะหามาให้ได้มากที่สุดเท่าที่จะทำได้สินะ"""
msc_022120_0110#0,"""รีบไปตามหากันเถอะ"""
msc_022120_0120#0,"""...พวกเราจะช่วยเธอให้ได้"""
msc_022120_0130#0,"""ใช่แล้ว!"""
msc_022120_0140#0,"""ต่อให้พวกเราต้องพลิกแผ่นดินฮาลฟา (Halpha) หา เราก็จะหามันให้เจอ!"""
msc_022120_0150#0,"""สิ่งหนึ่งที่เรารู้ตอนนี้ก็คือ Liminal Sign มีขนาดใหญ่กว่า Resta Sign ทั่วไปครับ"""
msc_022120_0160#0,"""ผมจะแจ้งสถานการณ์ให้ ARKS คนอื่นๆ ทราบและขอความร่วมมือจากพวกเขานะครับ"""
msc_022120_0170#0,"""ทุกคนเป็นห่วงมาน่อนกันทั้งนั้น พวกเขาต้องยินดีช่วยเหลือแน่นอนครับ"""
msc_022120_0180#0,"""ฉันจะระดมกำลังคนที่พร้อมในรีเทม (Retem) ให้มาช่วยค้นหาด้วย"""
msc_022120_0190#0,"""ทางสเตีย (Stia) ก็พร้อมช่วยเหมือนกัน"""
msc_022120_0200#0,"""ทีมสำรวจจะใช้ข้อมูลที่มีอยู่เพื่อพยายามตีกรอบพื้นที่ค้นหาที่เป็นไปได้ให้แคบลงค่ะ"""
msc_022120_0210#0,"""ขอบคุณนะ ทุกคน..."""
msc_022120_0220#0,"""เอาล่ะ มาเริ่มภารกิจการค้นหากันเถอะ!"""
