text00#0,"""Очки квеста"""
text01#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Даган: 1 очко"""
text02#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Крада: 1 очко"""
text03#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Картаго: 3 очка"""
text04#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Бриада: 3 очка"""
text05#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Эль Даган: 2 очка"""
text06#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>El Ahda: 3 очка<br><br>Отчёты предполагают, что другие сильные<br>дракеры также рыщут где-то поблизости.<br>Найдя их и уничтожив, вы получите<br>большое количество очков квеста."""
text07#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Даган: 2 очка"""
text08#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Крада: 2 очка"""
text09#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Картаго: 6 очков"""
text10#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Бриада: 6 очков"""
text11#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Эль Даган: 4 очка"""
text12#0,"""Получайте очки квеста, уничтожая<br>следующих даркеров:<br><br>Эль Ада: 6 очков<br><br>Отчёты предполагают, что другие сильные<br>дракеры также рыщут где-то поблизости.<br>Найдя их и уничтожив, вы получите<br>большое количество очков квеста."""
