name01#0,"""アスタルテ"""
11_voice_shop_411#0,"""<%me>, me disculpo<br>por llamarte de la nada."""
text02#0,"""Es un placer conocerte.<br>Mi nombre es Astarte.<br>Soy la oficial de instrucción básica para los ARKS."""
text03#0,"""Encantada de conocerte."""
text05#0,"""Hay un programa tutorial echo para gente como tu... Lo llamamos [Lecciones Arks]."""
text06#0,"""Este programa está altamente recomendado para la gente los cuales no están familiarizados con las actividades de los ARKS."""
text07#0,"""Creo que puede ser fácil de entender una vez lo uses.<br>Primero, por favor recibe esto."""
text08#0,"""Si llenas está tarjeta de sello, naturalmente deberías aprender más sobre los ARKS."""
text09#0,"""El primer objetivo en está tarjeta es <c bb0000>Ir a conocer a Astarte<c>.<br>En otras palabras, ven a conocerme."""
text10#0,"""Esto es todo por ahora. Te veo luego.<br>Espero que podamos trabajar juntos."""
name01#1,"""アスタルテ"""
name02#0,"""シエラ"""
text01#0,"""Oh, cierto.<br>Olvide preguntar."""
text02#1,"""Para ayudar a familiarizarte con las cosas, que tal si te damos un poco de entrenamiento? Yo puedo presentarte al que está a cargo."""
text03#1,"""Es un placer conocerte.<br>Mi nombre es Astarte.<br>Soy la oficial de instrucción básica para los ARKS."""
text04#0,"""Si mi información es correcta, eres un principiante quien recientemente se a enlistado en los ARKS."""
text05#1,"""Si mi información es correcta, estuviste en hibernación criogénica, existe la posibilidad de que tus recuerdos estén revueltos."""
text06#1,"""Me gustaría recomendarte un programa tutorial que llamamos [Lecciones Arks]."""
text07#1,"""Este te dará información básica acerca de las actividades diarias de los ARKS, y podría ayudarte a recordar."""
text08#1,"""Creo que puede ser fácil de entender una vez lo uses.<br>Primero, por favor recibe esto."""
text09#1,"""Si llenas está tarjeta de sello, naturalmente deberías aprender más sobre los ARKS."""
text10#1,"""El primer objetivo es<br><c bb0000>「Visitar a Astarte」<c>.<br>Así que por favor,  ven a verme."""
text11#0,"""Muchas gracias por tu cooperación."""
text12#0,"""Cómo debería decir esto...<br>Necesitas completar \""Exploración: bosque\""<br>para desbloquear los siguientes objetivos del<br>[Story Board]"""
text13#0,"""Si no es mucho problema,<br>es recomendable hablar con Astarte<br>e iniciar las [Lecciones Arks]"""
text14#0,"""Si completas \""Exploración: bosque\""<br>eso te guiará a cumplir los primeros<br>objetivos de las [Lecciones Arks]"""
