name01#0,"""アスタルテ"""
11_voice_shop_410#0,"""Hola, mi nombre<br>es Astarte. Soy la oficial<br>de instrucción básica para los ARKS."""
text02#0,"""Estoy asignada a las lecciones Arks, un programa de guías básicas."""
text03#0,"""Las lecciones Arks es un programa de guías básicas el cual suministra información básica acerca de los ARKS."""
text04#0,"""Este programa está altamente recomendado para la gente los cuales no están familiarizados con las actividades de los ARKS."""
text05#0,"""Creo que puede ser fácil de entender una vez lo uses.<br>Primero, por favor recibe esto."""
text06#0,"""Si llenas esta tarjeta de sellado, naturalmente deberías aprender más sobre los ARKS."""
text07#0,"""En tu caso, has completado algunos objetivos. Voy a sellarlos por adelantado."""
text08#0,"""Si hay algún objetivo el cual aún no has experimentado, por favor ve e inténtalo."""
text09#0,"""Es bastante común darse cuenta de que no conoces información sorprendentemente básica. Es una buena idea revisar la tarjeta de sello nuevamente."""
text10#0,"""Si hay algo que no entiendas sobre los objetivos, espero que vengas directamente a mí, a preguntarme sobre ello."""
text00#0,"""Hacerca de las lecciones Arks"""
text01#0,"""Las lecciones Arks es un programa tutorial hecho para los Arks novatos. Si completas algún objetivo, obtendrás sellos en tu tarjeta, y aprenderás acerca de algunas funciones básicas de los Arks e información básica. *Los objetivos que ya hallas cumplido serán automáticamente sellados."""
text02#1,"""Un icono de navegación se mostrara hacia tu objetivo en las lecciones Arks. El número que aparece abajo de este, es la distancia de tu objetivo. Si no sabes cuál es el objetivo, sigue el icono y llegaras a tu objetivo. Si no quieres que el icono aparezca, puedes desactivarlo en el menú de opciones."""
text03#1,"""Puedes hablar con Astarte acerca de tu objetivo por el cual estas trabajando actualmente. Si no sabes cuál es el objetivo a seguir, intenta preguntándole a Astarte. Astarte está en el área central del área de abordaje."""

