Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/ci1 1 케이크 가게를 찾아나설 뿐이라고 해서<br>따라와 봤더니, 나 원 참,<br>이란 느낌이네……"""
Success#1,"""/mn6 /ci2 1 ……한심하게 들리겠지만<br>선배 덕분에<br>어떻게든 됐다, 라는 느낌이네."""
Failure#1,"""/ci4 1 ……잘 알았어.<br>나는, 아직 한참 미숙해.<br>다음엔 반드시, 더 잘할거야!"""
Dead#1,"""/ci4 1 ……쳇.<br>선배의 앞에서 이런 꼴이라니<br>꼴불견이구나, 나는……"""
BuddyDead#1,"""/mn3 /ci3 2 롯티!<br>젠장……눈 앞의 후배 하나조차<br>지키는 것도 해낼 수 없다니……!"""
Evolution#1,"""/ci1 2 아직도 오는 건가?<br>케이크 가게를 찾으러 온 것 뿐인데<br>꽤나 큰 일이 되어 버렸구나……"""
Begin#2,"""/mn18 /ci1 2 선배, 나도 부탁할게.<br>찾는 것이 있으니까 말야.<br>조금 서두르고 있었어."""
Success#2,"""/mn29 /ci5 3 t5 ……뭐, 뭐야 선배, 그 눈초리는.<br>나는 도와줬을 뿐.<br>케이크가 갖고싶어서<br>찾고 있었던 게 아니었으니까."""
Failure#2,"""/mn7 선배, 미안……<br>더 이상은 어려울 것 같아.<br>……정말로, 미안해."""
Dead#2,"""/mn22 ……아아, 제길.<br>도움은커녕, 완전히 걸림돌이잖아."""
BuddyDead#2,"""/mn19 /ci5 5 t5 ……그 케이크가, 이 정도로<br>필사적이 될 만한 물건인가?<br>나로서는, 조금 모르겠는걸."""
Begin#3,"""/mn2 /ci2 5 아자나미 씨 말대로<br>우리들 만으로는, 조금 난해해서 말야<br>도와줬으면 좋겠어."""
Success#3,"""/ci2 1 분명히, 너무 들떠 있었지……<br>다음부터는 조심해서 가자고.<br>선배, 도와줘서 고마워."""
Failure#3,"""/ci5 3 제길……실패인가.<br>미안, 선배. 더 이상<br>폐를 끼치긴 싫으니, 먼저 철수할게."""
Dead#3,"""더 이상은, 움직일 수 없어……<br>미안, 둘 다."""
BuddyDead#3,"""아자나미 씨, 괜찮은가?<br>이쪽은 선배와 어떻게든 해볼테니<br>쉬고 있어줘."""
Begin#4,"""/toge /ci1 4 선배!<br>나도……싸우겠어!<br>함께 싸우게 해줘!"""
Success#4,"""/ci1 1 선배……<br>나는, 기다리고 있을게.<br>돌아오는 걸, 기다리고 있을테니까."""
Failure#4,"""미안해, 선배.<br>의욕만 앞서버린 탓에……."""
Dead#4,"""선배……미안……"""
BuddyDead#4,"""아자나미 씨!<br>괜찮은가!"""
