name_7224#0,"""ไซเทร"""
ssn_019390_002_0010#0,"""<%me>! <br>ขอบใจที่มานะ"""
ssn_019390_002_0020#0,"""ดูเหมือนคนข้างๆ อยากจะพูดอะไรสักอย่าง...<br>แต่เอาเป็นว่า ไม่ต้องสนใจแล้วคุยกันต่อดีกว่า"""
ssn_019390_002_0030#0,"""คือว่า มีเรื่องอยากจะปรึกษาหน่อยน่ะ..."""
ssn_019390_002_0040#0,"""ความจริงคือช่วงนี้ศัตรูที่มีสัญลักษณ์และดุร้ายเพิ่มจำนวนขึ้นน่ะ<br>ระหว่างที่กำลังขนส่งเสบียงก็มักจะโดนพวกมันโจมตีอยู่บ่อยๆ"""
ssn_019390_002_0050#0,"""ระหว่างที่กำลังขนส่งเสบียง<br>ก็โดนพวกมันโจมตีอยู่บ่อยๆ ด้วย..."""
ssn_019390_002_0060#0,"""ก็เลยอยากจะขอร้องให้เจ้าหน้าที่ ARKS ฝีมือดีอย่างเธอ<br>ช่วยจัดการศัตรูพวกนั้นให้หน่อยน่ะ"""
ssn_019390_002_0070#0,"""ขอพึ่งพาหน่อยจะได้... ไหม?"""
ssn_019390_002_0080#0,"""เพื่อความปลอดภัยของการขนส่งเสบียง อยากให้ช่วยหน่อยน่ะ<br>ถ้าอย่างนั้น ฝากด้วยนะ!"""
ssn_019390_002_0900#0,"""เสบียงคือเส้นเลือดใหญ่ของการต่อสู้!"""
ssn_019390_002_0910#0,"""...แต่ตอนนี้เส้นเลือดใหญ่นั่นกำลังเข้าตาจนเลยล่ะ..."""
npc_menu_0010#0,"""แลกเปลี่ยน Seasonal Point (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยน New Year '24 Seasonal Point (จนถึง $(0))"""
npc_menu_0030#0,"""แลกแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""Recycle Item"""
npc_menu_0050#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_0070#0,"""แลก N-Grinder"""
npc_menu_0080#0,"""แลกตั๋วที่ระลึก Super Genesis Festival '25"""
npc_menu_1010#0,"""เกี่ยวกับ Seasonal Event"""
npc_menu_1020#0,"""เกี่ยวกับศัตรูตามฤดูกาล"""
npc_menu_1030#0,"""เกี่ยวกับ Mischief Symbol"""
npc_menu_1040#0,"""เกี่ยวกับ Seasonal Regional Mag"""
npc_menu_1050#0,"""เกี่ยวกับ Randomite"""
npc_menu_2000#0,"""ไม่เป็นไร"""
