name_7234#0,"""เปปปี้ แรปปี้"""
name_7224#0,"""ไซเทร"""
ssn_019390_003_0010#0,"""ไง! ขอโทษด้วยนะที่จู่ๆ ก็แทรกเข้าไปในสายสื่อสาร<br>พอดีตื่นเต้นจนเก็บอาการไม่อยู่น่ะ"""
ssn_019390_003_0020#0,"""ขอแนะนำตัวอีกครั้งละกัน ฉันคือเปปปี้ แรปปี้<br>คนที่รักแรปปี้สุดๆ หรือที่รู้จักกันในชื่อ 'พี่ชายแรปปี้' ไงล่ะ"""
ssn_019390_003_0030#0,"""ความจริงแล้ว ช่วงนี้มีการค้นพบแรปปี้สายพันธุ์ใหม่ด้วยนะ!<br>เรียกว่า 'Raguo Rappy' ล่ะ"""
ssn_019390_003_0040#0,"""เมื่อเทียบกับแรปปี้ทั่วไปแล้ว ตัวจะยาวกว่าน่ะ<br>แถมยังชอบเอาจะงอยปากมาจิกด้วย"""
ssn_019390_003_0050#0,"""ซึ่งมันก็น่ารักมากเลยล่ะ<br>น่ารักจนอยากจะกอดแล้วเอาแก้มถูเลย!"""
ssn_019390_003_0055#0,"""อ้อ จะว่าไป มีข่าวลือด้วยนะว่า<br>'Raguo Rappy' บางตัวมีขนาดใหญ่ยักษ์ด้วยล่ะ"""
ssn_019390_003_0060#0,"""อ๊าา!<br>อยากจะรู้เรื่องของแรปปี้ตัวนั้นให้มากกว่านี้จัง"""
ssn_019390_003_0070#0,"""ก็เลยอยากจะขอร้องให้เธอช่วยไปตรวจสอบให้หน่อยน่ะ!<br>ถ้าเป็นไปได้ อยากให้รีบมุ่งหน้าไปพื้นที่ตอนนี้เลย..."""
ssn_019390_003_0080#0,"""...เอ่อ คุณเปปปี้ แรปปี้คะ<br>ขอเวลาสักเดี๋ยวได้ไหมคะ?"""
ssn_019390_003_0090#0,"""ก่อนหน้านี้พูดไว้แล้วไม่ใช่เหรอคะ<br>ว่าเส้นทางการขนส่งเสบียงกำลังตกอยู่ในอันตรายน่ะ"""
ssn_019390_003_0100#0,"""ในฐานะคนดูแลหน่วยเสบียง ฉันคิดว่าตอนนี้ควรจะให้ความสำคัญ<br>กับความปลอดภัยก่อนเรื่องของแรปปี้นะคะ"""
ssn_019390_003_0110#0,"""...ก็จริงนะ ดูเหมือนฉันจะลืมตัวไปหน่อย<br>การมีลูกน้องเก่งๆ นี่มันดีแบบนี้เองสินะ"""
ssn_019390_003_0120#0,"""<%me> คุง<br>แอบเสียดายนิดหน่อย แต่ก็อย่างที่ว่ามาแหละ"""
ssn_019390_003_0130#0,"""การตรวจสอบ 'Raguo Rappy' น่ะ<br>ถ้าพอมีเวลาระหว่างทำภารกิจ ก็ช่วยดูๆ ให้หน่อยละกัน"""
ssn_019390_003_0140#0,"""ถึงตอนนั้น ก็ช่วยแสดง 'ความรัก' ที่เธอมีต่อแรปปี้<br>ให้ฉันได้เห็นแบบเต็มๆ ตาเลยนะ!"""
ssn_019390_003_0150#0,"""ยังไม่ค่อยมีข้อมูลรายละเอียดเกี่ยวกับ<br>'Raguo Rappy' มากนักหรอกนะ"""
ssn_019390_003_0160#0,"""จะเป็นสายพันธุ์ที่วิวัฒนาการมา หรือว่ากลายพันธุ์กันแน่นะ...?<br>แต่ไม่ว่ายังไง ก็อดตื่นเต้นไม่ได้เลยแฮะ"""
ssn_019390_003_0170#0,"""นี่ คุณเปปปี้ แรปปี้คะ<br>อย่าลืมเรื่องการรักษาความปลอดภัยในการขนส่งเสบียงด้วยล่ะ"""
ssn_019390_003_0180#0,"""อ๊ะ ขอโทษที่ทำให้เป็นห่วงนะ<br>ไม่เป็นไร ฉันเข้าใจแล้วน่า!"""
