name01#0,"""シエラ"""
text01#0,"""A continuación, voy a explicar <red>Sword Gear<c>!"""
text02#0,"""A medida que el Gear de la Sword se llena, obtienes efectos como <red> fortalecimiento y disminución del tiempo de carga de Photon Arts<c>!"""
text03#0,"""Intenta usar un Photon Art con el <red>Gear en nivel 2 o mas.<c>"""
text101#0,"""Tarea 3: utilizar un Photon Art con 2 o más niveles de Gear"""
train_title#0,"""Tarea 3: utilizar un Photon Art con 2 o más niveles de Gear"""
tut_title#0,"""[Sword Gear]"""
text100#0,"""・Ataca a los enemigos hasta que alcances el nivel 2 Gear<br>・Usa un Photon Art con <%PhotonArts>"""
text100_3b#0,"""・Ataca a los enemigos hasta que alcances el nivel 2 Gear<br>・Usa un Photon Art con <%PhotonArts>"""
tut_win_title#0,"""[Sword Gear]"""
tut_win_text100#0,"""Al aprender la habilidad de clase \""Sword Gear\"", puedes aumentar aún más el rendimiento de tu espada.<br><br>Al atacar a los enemigos, llegarás al Gear 2, luego al Gear 3.<br><br>A medida que Sword Gear se llena, obtienes efectos como el fortalecimiento de Photon Arts y la disminución del tiempo de carga."""
