Title#0,"""헌터의 기초"""
Explanation#0,"""■훈련 메뉴<br>――――――――――――――――――――<br>과제1 : 포톤 아츠의 저스트 어택<br>과제2 : 저스트 가드 훈련<br>과제3 : 소드 기어 훈련<br>과제4 : 와이어드 랜스 기어 훈련<br>과제5 : 파르티잔 기어 훈련<br>과제6 : 실전 훈련"""
SimpleExplanation#0,"""6개의 과제를 달성해라!"""
Training1#0,"""저스트 어택으로 PA를 성공시켜라"""
Training2#0,"""저스트 가드를 성공시켜라"""
Training3#0,"""기어를 모아서 포톤 아츠를 발동"""
Training4#0,"""기어를 모아서 포톤 아츠를 발동"""
Training5#0,"""기어를 모아서 포톤 아츠를 발동"""
Training6#0,"""에너미를 섬멸해라"""
Retry_1#0,"""과제１"""
Retry_2#0,"""과제２"""
Retry_3#0,"""과제３"""
Retry_4#0,"""과제４"""
Retry_5#0,"""과제５"""
Retry_6#0,"""과제６"""
