name01#0,"""시에라"
11_voice_train_04001#0,"""안녕하세요!<br>이번에는 「헌터의 기초」를<br>훈련해보죠!"""
text02#0,"""일단은 <red>저스트 어택<c>에 대해서<br>훈련하겠습니다."""
text03#0,"""통상 공격이나 포톤 아츠 후에는<br>붉은 원이 나옵니다. 저스트 어택은<br>그 <red>원안에 맞춰 공격<c>하는 것입니다!"""
text04#0,"""통상 공격 후에 나오는 붉은 원에 맞춰<br>포톤 아츠를 발동해보죠!"""
text101#0,"""과제１：<yellow>저스트 어택으로 포톤 아츠를 발동"""
train_title#0,"""과제１：<yellow>저스트 어택으로 포톤 아츠를 발동"""
tut_title#0,"""저스트 어택에 관해서"""
text100#0,"""・<%NormalAttack>버튼으로 통상 공격을 한 뒤에<br>붉은색 원이 표시되는 타이밍에<br>\u3000<%PhotonArts>버튼으로 포톤 아츠를 발동."""
text100_3b#0,"""・<%NormalAttack>버튼으로 통상 공격을 한 뒤에<br>붉은색 원이 표시되는 타이밍에<br>\u3000<%PhotonArts>버튼으로 포톤 아츠를 발동."""
tut_win_title#0,"""저스트 어택에 관해서"""
tut_win_text100#0,"""「저스트 어택」 공격에 성공하면<br>평소보다 더 큰 피해를 입힙니다.<br><br><c 00ffff>붉은 원 표시 중에 공격 버튼<c>을 누르는 것으로<br>직후의 공격이 저스트 어택이 됩니다.<br><br><c 00ffff>※포톤 아츠나 테크닉에도 유효합니다<c><br><br><c ff3300>※「펫」의 공격에는<br>\u3000해당되지 않습니다<c>"""
