name01#0,"""シエラ"""
text01#0,"""Ahora, déjame explicarte sobre<red>Wired Lance Gear<c>!"""
text02#0,"""Cuando tienes Wired Lance Gear, sus Photon Arts consumen un nivel de Gear para aumentar su poder."""
text03#0,"""Intenta usar un Photon Art con <red>uno o más niveles de Gear.<c>"""
text101#0,"""Tarea 4: <yellow>Usa un Photon Art con uno o más niveles de Gear"""
train_title#0,"""Tarea 4: <yellow>Usa un Photon Art con uno o más niveles de Gear"""
tut_title#0,"""[Wired Lance Gear]"""
text100#0,"""・Ataca a los enemigos hasta que tengas Gear<br>・Usa un Photon Art con <%PhotonArts>"""
text100_3b#0,"""・Ataca a los enemigos hasta que tengas Gear<br>・Usa un Photon Art con <%PhotonArts>"""
tut_win_title#0,"""[Wired Lance Gear]"""
tut_win_text100#0,"""Al aprender la habilidad de clase \""Wired Lance Gear\"", puedes aumentar aún más el rendimiento de tu Wired Lance.<br><br>El Gear se llena atacando y gana una pila cada vez que se llena un nivel.<br><br>Al utilizar Photon Arts de retención, se consumirá un Gear apilado para aumentar la potencia del Photon Art."""
