IncidentName#0,"""Победите $(0)"""
TrialBeginMsg#0,"""Победите $(0)!"""
TrialAbstract#0,"""Победите $(0)!"""
NpcComOnBegin#0,"""Замечен Дарк Фальц [Персона]!<br>У него ошеломительные<br>энергетические сигналы и злобы!<br>Обязательно уничтожьте его<br>здесь и сейчас!"""
NpcComOnSuccess#0,"""Цель уничтожена!<br>Сигнал врага пропал!"""
NpcComOnSpCharge#0,"""Энергетический сигнал<br>цели усилился!<br>Будьте осторожны!"""
NpcComOnSpBegin#0,"""Эти сигналы...<br>Приближается сильная атака!<br>Берегитесь!"""
NpcComOnSpGuardSuccess#0,"""Цель рухнула!<br>Это ваш шанс!<br>Остановите его!"""
NpcComOnSpGuardDraw#0,"""Вы в порядке?!<br>Не похоже, что он что-то сделал.<br>Попробуйте ещё раз!"""
NpcComOnSpGuardFailure#0,"""Вы в порядке?<br>Давайте, продолжайте!"""
NpcComOnDamage1#0,"""Он слабеет!"""
NpcComOnDamage2#0,"""Он на последнем дыхании!<br>Ещё немного!"""
