Title#0,"""Призрак разрушений"""
Explanation#0,"""消滅したはずの【仮面】らしき反応が<br>宇宙の亀裂内部に出現した変質空間で<br>確認された。強い怨嗟が残滓となり<br>異様な姿を形作ったと推測される。<br>アークス各員は、至急現地に出撃し<br>全宇宙破壊を目論む【仮面】を阻止せよ。<br>――――――――――――――――――――<br>クリア可能回数/$(0)回、ランキングあり<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""Победите Дарк Фальц [Персона]!"""
NpcComMsg1#0,"""Мы начинаем реализацию стратегии<br>уничтожения Дарк Фальц [Персоны]<br>из изменённого пространства."""
NpcComMsg2#0,"""Ох хочет уничтожить<br>всю вселенную...<br>Итак, давайте объединим<br>силы ARKS и остановим его<br>здесь и сейчас!"""
Area0S#0,"""Местоположение сигнала [Персоны]"""
Area0L#0,"""Вселенная Оракула: Местоположение сигнала [Персоны]"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
