Title#0,"""Призрак трагедии"""
Explanation#0,"""怨嗟の残滓からなる【仮面】の反応が<br>再び宇宙の変質空間において確認された。<br>全宇宙破滅を望む執念は、凄まじく<br>熾烈を極める戦いになると予想される。<br>本任務は、危険なことから相応の実績と<br>強い覚悟を持つアークスに限定される。<br>――――――――――――――――――――<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""Победите Дарк Фальц [Персона]!"""
NpcComMsg1#0,"""Мы начинаем реализацию стратегии<br>уничтожения Дарк Фальц [Персоны]<br>из изменённого пространства."""
NpcComMsg2#0,"""Он стремится уничтожить<br>вселенную. Против нас<br>предполагается использование<br>опасных атак!"""
NpcComMsg3#0,"""Здесь не нужно сдерживаться!<br>Все, обязательно уничтожьте<br>его и благополучно вернитесь в<br>целости и сохранности!"""
Area0S#0,"""Местоположение сигнала [Персоны]"""
Area0L#0,"""Вселенная Оракула: Местоположение сигнала [Персоны]"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""スーパーハード受注許可証の所持"""
