text00#0,"""Как ваши дела? Что-то хотели?"""
text01#0,"""Блоки челенджей"""
text02#0,"""Квесты челенджей"""
text03#0,"""Общий корабль"""
text04#0,"""\""Пожалуйста, дайте мне совет\"""""
text05#0,"""\""Пожалуйста, не давайте мне совет\"""""
text06#0,"""Уйти"""
text07#0,"""Передача предметов"""
11_voice_challe_ope_001#0,"""О блоках челленджей. Это<br>объёмное руководство, так что<br>не поленитесь потратить время<br>для ознакомления."""
text01#1,"""Подводя итог, <c bb0000>уровни<br>снаряжения и классов временно<br>изменяются, но когда вы<br>переходите к обычному блоку,<br>они возвращаются в обычное<br>состояние<c>."""
text02#1,"""Чтобы облегчить тренировку,<br>мы изменили ваш класс на<br>челенджера. Будьте уверенны,<br>это только временно."""
11_voice_challe_ope_001#1,"""О квестах челенджей. Это<br>объёмное руководство, так что<br>не поленитесь потратить время<br>для ознакомления."""
text01#2,"""Подводя итог, эти квесты<br>посвящены <c bb0000>тренировкам в<br>контролируемой среде<c>."""
text02#2,"""Как далеко вы можете зайти<br>прежде чем VR энергия иссякнет?<br>Это станет проверкой ващего<br>истинного мастерства."""
text03#1,"""Мили челенджей, начисляемые за<br>достижение прогресса, можно<br>будет обменять на награды,<br>когда вы вернётесь в обычный<br>блок."""
11_voice_challe_ope_001#2,"""О общем корабле. Это<br>объёмное руководство, так что не<br>поленитесь потратить время<br>для ознакомления."""
text01#3,"""Подводя итог,<br><c bb0000>общий корабль - место, где вы<br>можете общаться с людьми<br>с других кораблей<c>."""
text00#1,"""Хорошо. Я дам вам совет<br>во время челенджей."""
text01#4,"""Если вам больше не нужны мои<br>советы, дайте знать."""
text00#2,"""Хорошо. Я больше не буду давать<br>вам советы во время челенджей."""
text01#5,"""Однако учтите, что мы всё равно<br>поведаем вам о важных вопросах."""
text02#3,"""Если вы решите, что вам нужен<br>совет, не стесняйтесь<br>спрашивать."""
11_voice_challe_ope_001#3,"""О передаче предметов. Это<br>объёмное руководство, так что не<br>поленитесь потратить время<br>для ознакомления."""
text01#6,"""Подводя итог,<br><c bb0000>вы можете выбросить свои<br>предметы на землю, чтобы<br>передать другому участнику<c>."""
text02#4,"""В квестах челенджей вы можете<br>давать друг другу оружие и<br>юниты. Пожалуйста,<br>не пренебрегайте этим."""
text00#3,"""Блоки челенджей"""
text01#7,"""Блоки челенджей - блоки, в которых вы можете<br>выполнять квесты челенджей.<br><br>В этих блоках, <red>уровни и снаряжение игроков<br>временно ограничиваются<c>, так что тренировка<br>может проходить в контролируемой среде.<br><br>Некоторые прочие функции, такие как заказы<br>клиентов, также ограничиваются.<br>Но будьте уверены, что они вернутся в нормальное<br>состояние, когда вы вернётесь в обычный блок."""
text02#5,"""В блоках челенджей, как и обычных блоках,<br>квесты можно брать у координатора квестов.<br><br>Вы можете использовать телепортационную кабину,<br>чтобы перейти в другой блок челенджей, или<br>вернуться в обычный блок."""
text03#2,"""Подойдя к монументу челенджей в блоке челенджей,<br>вы можете посмотреть рейтинг квестов челенджей.<br><br>Примите участие в челенджах и стремитесь стать<br>номером 1.<br><br>※Рейтинг пререодически сбрасывается"""
text00#4,"""Квесты челенджей"""
text01#8,"""Цель квеста челенджей - <red>выполнить<br>определённую миссию до истечения отведённого<br>времени действия VR энергии<c>.<br><br>Квест заканчивается при любом из<br>следующих условий:<br><yellow>・Выполнена определённая миссия<br>・Закончилась VR энергия<c><br><br>VR энергия распределяется между всеми<br>участниками. Оставшийся объём отображается<br>в виде зелённой полоски."""
text02#6,"""В квестах челенджей ваш класс меняется на<br>класс челенджера.<br><br>Челенджер имеет следующие особенности:<br><yellow>・Может экипировать любое снаряжение<br>・Может изучать любые Фотон Арты, техники<br>и умения/навыки с помощью дисков<c><br><br>Одновременно можно использовать до 2х стоек.<br>※Некоторые стойки нельзя использовать<br>одновременно."""
text03#3,"""VR энергия - это, по сути, ограничение квеста<br>по времени.<br><br>VR энергия расходуется согласно следующим<br>условиям:<br><yellow>・С проходящим временем квеста<br>・С игроками, которые стали небоеспособными<c><br><br>VR энергию можно восстановить посредством<br>сбора капусл энергии.<br>Собранная энергия распределяется между всеми<br>участниками.<br><red>※Некоторые капсулы не отображаются<br>на миникарте.<c>"""
text04#1,"""Когда игрок становится небоеспособным,<br>расходуется значительное количество VR нергии.<br><br>VR энергию можно восстановить, если оживить<br>игрока следующим способом:<br><yellow>・Используя Moon Atomizer<c><br><br><red>При оживлении союзника VR энергия<br>не восстанавливается<c>, так что постарайтесь<br>оживить как можно больше своих союзников.<br><br>Кроме того, если у небоеспособного игрока есть<br><yellow>Challenge Doll<c>, то он может ожить без траты<br>VR энергии."""
text05#1,"""Во время квеста можно встретить<br>промежуточные зоны.<br>Когда игрок достигает этой зоны, временно<br>приостанавливается расход VR энергии.<br>※Энергия по-прежнему будет расходоваться, когда<br>игрок небоеспособен, и будет восстанавливаться<br>при использовании Moon Atomizer<br><br>Кроме того, все игроки, которые не достигли<br>этой зоны по прошествии определённого времени,<br>принудительно телепортируются.<br><red>Небоеспособные игроки оживут, но VR энергия<br>не восстановится.<c>"""
text06#1,"""В помежуточной зоне вы сможете использовать<br>магазин обмена, чтобы обменять предметы<br>на другие, которые будут более полезными<br>для вас.<br><br>Пополняйте свои запасы предметов для<br>восстановления в следующей миссии и<br>обменивайтесь со своими товарищами снаряжением<br>и дисками.<br><br>Если у вас недостаточно предметов для обмена,<br>то можете взять таковые у членов вашей группы."""
