Title#0,"""ОМ: Осколки других миров"""
Explanation#0,"""異世界オメガが存在した宙域に、異質な<br>空間領域を確認。空間内にエフィメラ及び<br>【深遠なる闇】に近い反応を検知しました。<br>内部に確認される敵性存在は、その強さが<br>深遠度に応じて変化することを確認。<br>入念な準備の上、調査をお願いします！<br>――――――――――――――――――――<br>スケープドール・ハーフドール使用禁止<br>最大与ダメージ制限/999999<br>失敗条件/制限時間の経過、戦闘不能"""
SimpleExplanation#0,"""Победите сущность искажения!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""????"""
Area0L#0,"""????"""
Area1S#0,"""????"""
Area1L#0,"""????"""
Area2S#0,"""????"""
Area2L#0,"""????"""
Area3S#0,"""????"""
Area3L#0,"""????"""
Area1S#1,"""????"""
Area1L#1,"""????"""
Area3S#1,"""????"""
Area3L#1,"""????"""
QuestInfoPlanetName#0,"""????"""
