name_7663#0,"""Шарки"""
ssn_011141_0001#0,"""...Хорошо. Позвольте мне объяснить."""
ssn_011141_0101#0,"""...Стоило мне так сказать, но похоже что ваш класс сейчас не рейнджер."""
ssn_011141_0102#0,"""...Если хотите научиться искусству ведения боя,<br>смените класс на рейнджера у “координатора классов”."""
ssn_011141_0103#0,"""...Кроме того, не забывайте о “умениях и навыках класса” рейнджера."""
ssn_011141_0104#0,"""...В общем, давайте я расскажу о рейнджере."""
ssn_011141_0201#0,"""...Рейнджер - класс, который прекрасно ведёт<br>дальний бой стрелкорвым оружием."""
ssn_011141_0202#0,"""...Вы можете безопасно вести бой, сохраняя дистанцию до врага."""
ssn_011141_0203#0,"""...Кроме того, не стоит забывать о умениях и навыках класса."""
ssn_011141_0204#0,"""Среди них первое, с которым вам стоит<br>ознакомиться, это “Weak Bullet”.<br>...Оно эффективно против грозных врагов."""
ssn_011141_0205#0,"""...Опробуйте его в реальном бою. Для этого я поставлю<br>перед вами обучающую задачу."""
