name_7663#0,"""Шарки"""
ssn_011140_0010#0,"""...Новичок? Похоже, что вы только что прибыли в Централ."""
ssn_011140_0020#0,"""...Ещё немного отточите свои навыки, и приходите ко мне."""
ssn_011140_0030#0,"""...Я ждал вас. Я Шарки, инструктор стрелковых классов."""
ssn_011140_0040#0,"""...Похоже, что вы, как ARKS, не останавливаетесь в развитии."""
ssn_011140_0045#0,"""...Если вы хотите научиться искусству ведения боя, я<br>могу научить вас. О каком классе вы хотите узнать?"""
ssn_011140_0050#0,"""...Ясно. Если передумаете, приходите ко мне."""
ssn_011140_0060#0,"""...Вы должны усердно работать на тренировках."""
ssn_011140_0070#0,"""...Это единственный способ стать лучше."""
ssn_011140_0101#0,"""...Как всё прошло? Судя по всему, вы прекрасно всё поняли."""
ssn_011140_0102#0,"""...Ключём к победе по-прежнему являются умения и навыки класса.<br>Они расширяют ваши возможности в бою."""
ssn_011140_0103#0,"""...У вас будет получаться всё лучше и лучше.<br>Вы будете становиться сильнее и сильнее."""
ssn_011140_0104#0,"""...Надеюсь, что вы преуспеете."""
