un_065210_0010#0,"""으음……"""
un_065210_0020#0,"""코오리, 왜 그렇게 뚱한 표정이야.<br>무슨 일 있었어？"""
un_065210_0030#0,"""히츠기.<br>러브레터를 받았다던데……<br>정말이야？"""
un_065210_0040#0,"""잠깐, 네가 어떻게 알아！"""
un_065210_0050#0,"""러브레터？<br>누나 신발장에 들어 있던<br>편지 말이야？"""
un_065210_0060#0,"""알, 너였구나……"""
un_065210_0070#0,"""안 돼, 히츠기！<br>학생의 모범이 되어야 할 학생회장이<br>그런 걸 받다니！"""
un_065210_0080#0,"""불순 이성 교제야！<br>홍보부 파파라치에게 찍혀서<br>신문 1면을 장식할 거야！"""
un_065210_0090#0,"""나도 몰라！<br>나라고 받고 싶어서<br>받은 게 아니야！"""
un_065210_0100#0,"""그럼 불태우자.<br>지금 당장…… 응？"""
un_065210_0110#0,"""무섭잖아！"""
un_065210_0120#0,"""그럼 적어도 보낸 사람이 누군지는 알려 줘.<br>내가 “엄중히 주의”를 주고 올게……"""
un_065210_0130#0,"""야, 그람을 꺼내지 마！<br>그만둬, 코오리！"""
un_065210_0140#0,"""실례하마."""
un_065210_0150#0,"""아, 형！"""
un_065210_0160#0,"""그래, 알.<br>오랜만이네.<br>잘 지냈어？"""
un_065210_0170#0,"""응！"""
un_065210_0180#0,"""무슨 일이야, 오빠？<br>학생회에 볼일이라도 있어？"""
un_065210_0190#0,"""아니……<br>네가 러브레터라는 걸<br>받았다고 들어서……"""
un_065210_0200#0,"""왜 오빠까지！<br>……코오리, 네가 말했구나！"""
un_065210_0210#0,"""헤헷."""
un_065210_0220#0,"""히츠기, 당장 상대를 데려와.<br>오빠로서 어떤 녀석인지 봐 주마."""
un_065210_0230#0,"""아, 정말 시끄러워！<br>누가 보냈는지는 나도 몰라.<br>이름이 안 적혀 있었거든……"""
un_065210_0240#0,"""이름을 안 쓰다니, 멍청한 녀석이군.<br>시험에서 똑같이 해 봐……<br>열심히 풀고도 0점이라고, 0점！"""
un_065210_0250#0,"""그런 이야기는 아무래도 좋아요！<br>히츠기！ 그 러브레터에는<br>뭐라고 쓰여 있었어！？"""
un_065210_0260#0,"""윽……<br>그, 그건 조금……<br>부끄러운데……"""
un_065210_0270#0,"""『……항상 고마워요.<br>누나를 정말 좋아해요.<br>계속 함께 있어 주세요』"""
un_065210_0280#0,"""뭐！？<br>알, 네가 어떻게 알아……"""
un_065210_0290#0,"""아아아…… 그러고 보니<br>「누나」라고 쓰여 있었……<br>설마！"""
un_065210_0300#0,"""누나, 미안해.<br>나, 이름 쓰는 걸 깜빡했어."""
un_065210_0310#0,"""으아앙！<br>다행이다！ 정말 다행이야！"""
un_065210_0320#0,"""히츠기, 알！<br>앞으로도 셋이 함께<br>행복하게 살자！"""
un_065210_0330#0,"""그게 대체 뭐야！"""
un_065210_0340#0,"""히츠기 씨에게 러브레터를 쓰다니<br>알은 귀엽네요."""
un_065210_0350#0,"""러브레터가 아니라<br>감사 편지였겠지만……<br>1면을 장식하지 않아서 다행이에요."""
un_065210_0360#0,"""지구도 이제 괜찮은 것 같네요.<br>평화 그 자체예요！"""
