un_064170_0010#0,"""〔카미츠 님！〕"""
un_064170_0020#0,"""〔위협이〕〔사라졌다고〕<br>〔들었습니다！〕"""
un_064170_0030#0,"""〔이것도 모두〕〔이 사람에게〕<br>〔감사해야〕〔하지 않을까요！〕"""
un_064170_0040#0,"""〔겸손해하지 마라. 미래는 이어졌다.<br>그 모든 것은 그대가 엮어 낸 것〕"""
un_064170_0050#0,"""〔아직도 그 공적을 인정하지 않는 자가<br>있다 해도, 나와 코 레라는 모든 것을<br>보고 알고 있다〕"""
un_064170_0060#0,"""〔카미츠 님〕〔이 사람이〕<br>〔그만큼〕〔활약한 걸〕<br>〔알면서도〕〔인정하지 않는 자가？〕"""
un_064170_0070#0,"""문제없어"""
un_064170_0080#0,"""고마워"""
un_064170_0090#0,"""〔그렇다. 자신들과 다른 존재를<br>진정으로 이해하기란 몹시 어려운 법〕"""
un_064170_0100#0,"""〔하지만 그들도 언젠가는 알게 되리라.<br>다소 시간이 걸리더라도 반드시〕"""
un_064170_0110#0,"""〔그렇다면〕〔내가 알리겠다！〕"""
un_064170_0120#0,"""〔아크스와의 교류가〕<br>〔미래를 낳았다고〕〔무녀인 내가〕<br>〔널리 알리겠다！〕"""
un_064170_0130#0,"""〔나는〕〔알고 있다！〕<br>〔이 미래는〕〔아크스 덕분이다！〕"""
un_064170_0140#0,"""〔미래를 엮어 준 것에 감사한다.<br>나와 코 레라는 그대의 활약을<br>후세에 전하겠다〕"""
un_064170_0150#0,"""〔아크스의 활약은〕〔훌륭하다！〕<br>〔그 강함은〕〔용족에도 뒤지지 않는다！〕"""
un_064170_0160#0,"""〔특별히〕〔명예 용족으로〕<br>〔맞아들여도〕〔좋을 정도다！〕"""
un_064170_0170#0,"""〔레라는 그대의 활약을<br>진심으로 자랑스럽게 여기고 있다〕"""
un_064170_0180#0,"""〔안내자라는 역할을 통해<br>용족과 아크스의 가교가 되었다.<br>서로 협력할 수 있었던 것을 기뻐하고 있다〕"""
un_064170_0190#0,"""〔협력할 수 있어서〕〔나는 기쁘다！〕<br>〔아크스는〕〔어떻게 생각하지？〕"""
un_064170_0200#0,"""코 레라의 활약이 있었기에 가능했어"""
un_064170_0210#0,"""코 레라는 귀여워"""
un_064170_0220#0,"""〔카미츠 님의〕〔협력도 있었기에 가능했다！〕<br>〔하지만〕〔그렇게 말해 주니〕"""
un_064170_0230#0,"""〔기쁘다！〕"""
un_064170_0240#0,"""〔귀엽다는 건〕〔알고 있다！〕<br>〔사람은〕〔귀여운 이와 결혼하고 싶어 한다고〕<br>〔아키에게〕〔들은 적이 있다〕"""
un_064170_0250#0,"""〔그럼〕〔결혼할까？〕"""
un_064170_0260#0,"""〔아크스의 문화에 관해〕<br>〔아키와 쿠나에게〕<br>〔많이〕〔배웠다！〕"""
un_064170_0270#0,"""〔다른 용족도〕〔앞으로 더욱〕<br>〔바깥에 관심을〕〔갖는다면〕<br>〔용족의 미래는〕〔밝다〕"""
un_064170_0280#0,"""〔레라의 말이 맞다.<br>앞으로는 누구도 알 수 없는 미래.<br>다만 그대의 활약을 진심으로 바란다〕"""
un_064170_0290#0,"""〔용족도 그대들과 같은 미래를.<br>코 레라, 그대가 중심이 되어<br>용족과 아크스의 교류를 이어 가거라〕"""
un_064170_0300#0,"""〔네〕〔카미츠 님！〕<br>〔내게는〕〔아는 아크스가〕<br>〔많이 있다〕"""
un_064170_0310#0,"""〔앞으로도〕<br>〔사이좋게 지내겠다！〕"""
