un_065090_0010#0,"""있잖아,<br><%me>."""
un_065090_0020#0,"""나, 조금은<br>화났거든？"""
un_065090_0030#0,"""시바에게서 나온 【심원의 어둠】이<br><%me>에게 옮겨 간 뒤<br>혼자 어디론가 사라졌잖아……"""
un_065090_0040#0,"""세상을 지키려고 자신을 희생하는 거.<br>그런 건 그만하자고……<br>같이 얘기했었지？"""
un_065090_0050#0,"""어느 한쪽을 두고 가면 안 된다고……<br>약속했지？"""
un_065090_0060#0,"""마토이를 따라 했을 뿐이야"""
un_065090_0070#0,"""……미안해"""
un_065090_0080#0,"""으으……<br>그렇게 말하면 반박할 수가 없어……"""
un_065090_0090#0,"""그, 그래도！<br>나도 너도 무사히 돌아왔고<br>지금은 이렇게 함께 이야기할 수 있어."""
un_065090_0100#0,"""……후훗.<br>오히려 내가 미안해.<br>화난 건 조금뿐이야."""
un_065090_0110#0,"""그래도 이렇게<br>무사히 돌아와 줬잖아.<br>지금은 이렇게 함께 이야기할 수 있어."""
un_065090_0120#0,"""우리는 처음부터 줄곧 함께였고<br>가까이 있기에 오히려 보지 못하는 것도<br>있는 것 같아……"""
un_065090_0130#0,"""그러니까……<br>둘이서 제대로 이야기하자.<br>둘이서 함께 생각하자."""
un_065090_0140#0,"""너도 나도……<br>그 누구 하나 희생되지 않고<br>모두가 웃을 수 있도록."""
un_065090_0150#0,"""앞으로도<br>계속 함께 있을 거니까！"""
un_065090_0160#0,"""정말 좋아해！<br><%me>！"""
