un_065060_0010#0,"""여어！ 파트너！<br>어서 와！"""
un_065060_0020#0,"""믿고는 있었지만 말이야.<br>정말 그런 괴물을 쓰러뜨리다니……<br>틀림없는 최강의 아크스야！"""
un_065060_0030#0,"""곰곰이 생각해 보니<br>수료 임무에서 처음 만났을 때부터<br>비범한 면모를 보였지."""
un_065060_0040#0,"""파트너는 습격해 온 다커에게<br>조금도 겁먹지 않고 「돌파한다」고 했지.<br>나는 진짜 무서웠다고？"""
un_065060_0050#0,"""정식으로 아크스가 된 뒤에도<br>내 조사에 함께해 주고……<br>아, 같이 전투기술 대회에도 나갔지！"""
un_065060_0060#0,"""그 뒤로도 유크 누나를 구해 주고<br>다크 펄스 녀석들을 물리치고<br>【심원의 어둠】과 싸우고……"""
un_065060_0070#0,"""이제는 아크스를 대표하는 수호휘사.<br>이젠 내 파트너도 졸업이네…… 헤헤.<br>지금까지…… 고마웠어！"""
un_065060_0080#0,"""언제까지고 파트너야"""
un_065060_0090#0,"""그러게"""
un_065060_0100#0,"""헤헤……<br>그렇게 솔직하게 대답하니까<br>조금 간지럽네！"""
un_065060_0110#0,"""잠깐！？<br>노, 농담이 심하잖아, 파트너……"""
un_065060_0120#0,"""파트너는 태연한 얼굴로 농담하니까……<br>농담인 걸 알아도 가슴이 철렁한다고.<br>뭐, 어쨌든……"""
un_065060_0130#0,"""지금까지 정말 고마웠어！<br>그리고…… 앞으로도 잘 부탁해！<br>파트너！"""
