un_065030_0010#0,"""Indeed, you're absolutely right about that! You really opened up my eyes!"""
un_065030_0020#0,"""I want to keep talking to them a whole bunch, and get along like we did... No, even better than we did in the past!"""
un_065030_0030#0,"""After all, Kyo and Luco are my cherished best friends!"""
un_065030_0040#0,"""Hehe. You sure do wear your heart on your sleeve. You should have more confidence in your feelings about those friends."""
un_065030_0050#0,"""Yeah, I will! Thanks! I'll see you around--whoa whoa whoa whoa!"""
un_065030_0060#0,"""I didn't mean to eavesdrop."""
un_065030_0070#0,"""Everything okay?"""
un_065030_0080#0,"""Oh, not at all! I'm sorry for not noticing you!"""
un_065030_0090#0,"""So, can you keep that conversation a secret?<br>A-anyways, I'm gonna head out, farewell!"""
un_065030_0100#0,"""Stratos, it doesn't seem like anything was overheard."""
un_065030_0110#0,"""Oh, ah? Is that so? Thank goodness, we're all good! Anyways, I'll take my leave!"""
un_065030_0120#0,"""Thanks for waiting. Oh, I'd appreciate if you kept my conversation with Stratos to yourself."""
un_065030_0130#0,"""Lately, I've found I've been able to help out a lot of the younger generation. At first, I wondered if someone like me would even be fit to give them advice..."""
un_065030_0140#0,"""Then before I knew it, it kind of became my new role, so to speak."""
un_065030_0150#0,"""It's something I'm capable of. Someone you can tell anything to and they'll listen."""
un_065030_0160#0,"""It's kind of helped me realize what he meant by his final words. To look toward the future and confront myself."""
un_065030_0170#0,"""Ever since then, I've been sorting out my mind while learning more about the story of him and my sister."""
un_065030_0180#0,"""Without words, you won't be able to convey anything. You'll never understand your special someone. After all this time, I feel like I understand that now."""
un_065030_0190#0,"""In the place of him and my sister, I can do my part to help, however small, just by giving advice to the younger generation."""
un_065030_0200#0,"""That's my new role. Thinking like that, looking only towards the future, and moving forward in life."""
