un_065220_0010#0,"""아, <%me>.<br>수고했어."""
un_065220_0020#0,"""<%me>……<br>그…… 고마워！"""
un_065220_0030#0,"""【심원의 어둠】은 우리가<br>멋대로 만들어 놓고 버려서……<br>온 우주를 휘말리게 했어."""
un_065220_0040#0,"""다크 펄스도 【심원의 어둠】도<br>너희에게 전부 떠넘기고……<br>무책임한 것도 정도가 있지."""
un_065220_0050#0,"""그런데도 너희는<br>우리가 하지 못한 일을<br>훌륭히 해냈어……"""
un_065220_0060#0,"""그러니 적어도 내게<br>감사 인사는 하게 해 줘."""
un_065220_0070#0,"""우리를 대신해<br>【심원의 어둠】을 쓰러뜨려 줘서……<br>고마워."""
un_065220_0080#0,"""왜 그래？<br>갑자기 안 하던 짓을 하고."""
un_065220_0090#0,"""나는 직접 관여하지 않았지만<br>스무 여신 중 하나였어.<br>내게도 책임이 일부는 있다고."""
un_065220_0100#0,"""그러셔. 하지만 이번에는<br>너도 함께 싸웠잖아.<br>샤오에게 비장의 수라고까지 불렸다고？"""
un_065220_0110#0,"""<%me>에게는<br>한참 못 미치더라도 너 역시<br>감사받을 만한 입장이야."""
un_065220_0120#0,"""유크……"""
un_065220_0130#0,"""후후훗. 여전히<br>유크는 상냥하네."""
un_065220_0140#0,"""이러니저러니 해도<br>내가 풀이 죽으면 언제나<br>이렇게 격려해 주니까."""
un_065220_0150#0,"""하아…… 너 말이야.<br>나는 진지하게……"""
un_065220_0160#0,"""뭐, 나는<br>유크에게서 떨어질 수 없는 모양이니<br>앞으로도 힘을 빌려줄게."""
un_065220_0170#0,"""그러니까……<br>앞으로도 잘 부탁해, 유크！"""
un_065220_0180#0,"""……정말 솔직하지 못하네.<br>랄까, 서로 닮은 건가……"""
