un_065050_0010#0,"""We've finally achieved our goal, have we? At long last, our fallen comrades may rest easy."""
un_065050_0020#0,"""I cannot thank you enough. For defeating our mortal enemies, and putting an end to this war. A modern-day hero."""
un_065050_0030#0,"""Though I must also thank you for something else."""
un_065050_0040#0,"""It was you who brought Clarissa to me, the sight of which reignited my passion for weaponsmithing."""
un_065050_0050#0,"""If it weren't for that, I'd probably still be some washed-up, bitter has-been."""
un_065050_0060#0,"""Thank you for snapping some sense into this old man. I've lived a truly, truly eventful life."""
un_065050_0070#0,"""Don't tell me you're retiring?"""
un_065050_0080#0,"""This is only the beginning."""
un_065050_0090#0,"""What makes you jump to that conclusion? I said nothing of the sort."""
un_065050_0100#0,"""Hahaha! That's precisely what I wanted to hear from you. Too true, this is only the beginning."""
un_065050_0110#0,"""There are still battles yet to be won. It'll be some time before I quietly live out the rest of my years."""
un_065050_0120#0,"""For one thing, I'm sure Maria has no plans to let me go for the foreseeable future."""
un_065050_0130#0,"""In fact, I'm expecting her to come running back here with a broken Labrys any moment now. Someone's got to take care of that poor weapon."""
un_065050_0140#0,"""Ah, goodness gracious. I'm not allowed to grow old and senile just yet!"""
