un_065170_0010#0,"""지난번 도시락 맛있었지！<br>「양배추 도시락」！"""
un_065170_0020#0,"""「캐비아 도시락」이야."""
un_065170_0030#0,"""학교 복구를 도와주는 사람들에게<br>나눠 줄 도시락치고는 이상하지만."""
un_065170_0040#0,"""왜 그랬지. 나는 분명<br>평범한 배달 도시락을 주문했을<br>텐데……"""
un_065170_0050#0,"""고마워, 코오리！<br>나, 맛있는 도시락을 먹어서<br>정말 기뻤어！"""
un_065170_0060#0,"""하아앙, 알은 너무 상냥해.<br>그럼 다음에는 더 맛있는 걸<br>실수로 주문해 버릴게！"""
un_065170_0070#0,"""그만둬…… 애초에<br>「캐비아 도시락」은 누구를 위한 거야.<br>그런 걸 먹을 사람은 그 변태 사장 정도밖에……"""
un_065170_0080#0,"""불렀나？"""
un_065170_0090#0,"""돌아가는 길은 저쪽이야."""
un_065170_0100#0,"""여전히 신랄하구나！"""
un_065170_0110#0,"""너희가 하도<br>「돈만 대는 지원」 어쩌고 하며 몰아붙이니까<br>현장 도시락까지 지시하고 있는데！"""
un_065170_0120#0,"""응？ 설마……<br>코오리가 주문한 도시락을<br>멋대로 바꾼 건……"""
un_065170_0130#0,"""숨길 것도 없이 바로 나다！<br>감사는 필요 없어."""
un_065170_0140#0,"""역시 네 짓이었냐！"""
un_065170_0150#0,"""그래도 그 도시락<br>정말 맛있었어！"""
un_065170_0160#0,"""그거 영광이군！"""
un_065170_0170#0,"""맞다, 오늘은 너희가 시험해 봤으면 하는<br>새 앱이 있어서 왔다."""
un_065170_0180#0,"""우리 회사에서 개발 중인<br>촬영한 상대의 망상을 영상으로 즐기는<br>「Realization」의 테스터를……"""
un_065170_0190#0,"""네, 네！ 제가 할게요！"""
un_065170_0200#0,"""코오리, 너무 덥석 무는 거 아냐！"""
un_065170_0210#0,"""나도 하고 싶어！"""
un_065170_0220#0,"""알은 안 돼！<br>변태가 옮을 거야！"""
un_065170_0230#0,"""신랄함이 갈수록 날카로워지는군！"""
un_065170_0240#0,"""이, 이걸로 히츠기를 찍으면<br>히츠기의 망상이……！"""
un_065170_0250#0,"""싫어, 그만해, 코오리……<br>다가오지 마……！"""
un_065170_0260#0,"""우헤헤헤헤……<br>히츠기의 망상, 잘 먹겠습니다！<br>어라……？"""
un_065170_0270#0,"""코오리, 그거 렌즈 방향이 반대야.<br>자기 망상을 찍어서 어쩌려고……"""
un_065170_0280#0,"""이, 이리 줘, 코오리！<br>알은 보면 안 돼！"""
un_065170_0290#0,"""그렇군……<br>역시 내 앱답게 코오리 군의<br>망상을 영상으로 만드는 데 성공한 모양이다."""
un_065170_0300#0,"""자, 보게나.<br>너희 셋이 사이좋게……"""
un_065170_0310#0,"""웃기지 마！<br>이런 불순한 앱을 배포할 수 있겠냐！<br>당장 계획을 중단해！"""
un_065170_0320#0,"""있잖아, 뭐가 찍혔어？"""
un_065170_0330#0,"""알이 보기에는 아직 이르려나？<br>아, 나중에 몰래 영상도 받아 둬야지."""
un_065170_0340#0,"""……다들 즐거워 보여.<br>여러 일이 있었지만…… 다시 예전처럼<br>모두 함께 웃을 수 있게 돼서 다행이야."""
un_065170_0350#0,"""응. 복구도 순조롭고<br>이제야 여기까지 왔다는 느낌이야.<br>……평화는 좋네."""
un_065170_0360#0,"""응！<br><%me> 덕분이고,<br>또 모두의 덕분이야！"""
un_065170_0370#0,"""모두 함께 붙잡은 평화예요.<br>알도 포함해서…… 그렇죠？"""
