un_065160_0010#0,"""스쿠나히메！<br>코토시로 씨！"""
un_065160_0020#0,"""응？ 오오, 그대들이구나.<br>하루코탄에 있던 적들은<br>사라졌다."""
un_065160_0030#0,"""백의 주민들도 숨은 세상에서 돌아와<br>복구 작업을 하고 있다."""
un_065160_0040#0,"""다행이다！<br>우리도 끝났어."""
un_065160_0050#0,"""그런가, 그런가.<br>이제 다시 느긋하게 지낼 수 있겠구나."""
un_065160_0060#0,"""하루코탄에 평화가 돌아온 것도<br>모두 당신들 덕분입니다.<br>감사합니다."""
un_065160_0070#0,"""아니야.<br>스쿠나히메도 힘써 줬고<br>코토시로 씨도 도와줬어."""
un_065160_0080#0,"""모두 함께 노력하고<br>모두가 바랐기에……<br>지금으로 이어 갈 수 있었어."""
un_065160_0090#0,"""그렇지？<br><%me>！"""
un_065160_0100#0,"""모두의 덕분이야"""
un_065160_0110#0,"""마토이 덕분이야"""
un_065160_0120#0,"""응, 그렇지.<br>누구 하나라도 없었다면 이런 결과는 없었어.<br>모두의 덕분이야！"""
un_065160_0130#0,"""저, 정말…… <%me>까지.<br>칭찬해도 아무것도 안 나와…… 알지？"""
un_065160_0140#0,"""카캇, 이걸로 한 건 해결됐구나.<br>경사로다, 경사로다……"""
un_065160_0150#0,"""……그러고 보니 코토시로야.<br>백의 왕이 그대를 딸의 사위로<br>맞이하고 싶다고 하더구나."""
un_065160_0160#0,"""……예？"""
un_065160_0170#0,"""듣자 하니 백의 왕의 딸이……<br>그대에게 반한 모양이더구나."""
un_065160_0180#0,"""뭐……！？<br>대체 어째서 그런 일이！"""
un_065160_0190#0,"""그런 일이라니 무례하구나.<br>기억나지 않는다고는 못 할 게다."""
un_065160_0200#0,"""제법 오래전 일이지만……<br>소첩이 그 검은 아이에게<br>홀로 맞서러 갔을 때……"""
un_065160_0210#0,"""그대, 백의 주민들에게<br>큰 소리로 기운을 북돋웠다지？"""
un_065160_0220#0,"""그게, 흑의 주민들이 모두 【쌍자】에게<br>먹혀 버리고…… 스쿠나히메가<br>혼자 결판을 내려고 했을 때？"""
un_065160_0230#0,"""그래, 그때다.<br>코토시로가 재의 전이로 구하러 왔을 때는<br>소첩도 놀랐다."""
un_065160_0240#0,"""그리고 그 뜨거운 연설을 들은 공주가<br>그대의 용감한 모습과 혼이 담긴 말에<br>마음을 빼앗겼다고 하더구나."""
un_065160_0250#0,"""……처음 듣는 이야기입니다."""
un_065160_0260#0,"""그렇겠지？"""
un_065160_0270#0,"""그래서 어떠냐？"""
un_065160_0280#0,"""어떠냐고 하셔도……"""
un_065160_0290#0,"""영 결단을 못 내리는구나.<br>그대, 언제까지 혼자 지낼<br>생각이냐？"""
un_065160_0300#0,"""아니, 그건……"""
un_065160_0310#0,"""소첩도<br>슬슬 손주 얼굴을 보고 싶구나."""
un_065160_0320#0,"""저, 저는……"""
un_065160_0330#0,"""후훗.<br>코토시로 씨, 꼼짝도 못 하네."""
un_065160_0340#0,"""하루코탄도 이제 괜찮은 것 같아.<br>다행이다！"""
