11_voice_NPC_5532_100#0,"""Wooo! I'm a ghost!<br>Ehehe, did I surprise you? Happy Halloween!"""
11_voice_NPC_5532_106#0,"""...Huh? Such a cold response...<br>Ohh, you don't know who I am, is that it?<br>I am... Magical★Xiera!"""
11_voice_NPC_5532_108#0,"""Ahh, an even colder response! Let me explain the situation...! You see, it seems that I'm some sort of Phantom creation."""
skit01_04#0,"""Ether reacted to someone's intense emotions, and I came into being as a result, just like Matoi here did before!"""
skit01_05#0,"""So, to make sure people can tell me apart from the real Xiera, I'm wearing this witchy-looking costume and calling myself Magical★Xiera!"""
skit01_06#0,"""So, while the real Xiera takes care of all the work, I'll be a witch and have fun on Halloween...<br>That was the idea, at least."""
skit01_07#0,"""The truth is, I'm a little nervous...<br>Can I ask you to help me? Just let me know whenever you're ready!"""
11_voice_NPC_5532_101#0,"""たーのしい！\u3000ハロウィン、最高です！<br>かわいく着飾って、お菓子食べて<br>いろんな場所にお出かけできて……！"""
skit02_02#0,"""私の本物だって羨ましいはずですよね。<br>でももったいないから、本物の分まで<br>遠慮なく容赦なく楽しんじゃいます！"""
skit02_03#0,"""というわけで、引き続きよろしくです！"""
skit03_01#0,"""お疲れさまです！<br>あの、いろいろお願いを聞いてもらって<br>ありがとうございます！"""
11_voice_NPC_5532_100#1,"""おかげさまで、本物のシエラでは<br>ブレーキをかけてしまうような<br>楽しい体験が色々できて幸せです！"""
skit04_01#0,"""ハロウィンで配るお菓子は<br>食べたらびっくりするようなものが<br>面白いと思いません？"""
11_voice_NPC_5532_101#1,"""いたずらのお返しは、いたずらで！<br>その方が、楽しいじゃないですか。<br>と、いうわけで……"""
11_voice_NPC_5532_100#2,"""アレとコレを混ぜてコトコトして<br>プルプルパチパチのヌルヌルに……<br>へへ、楽しみにしててくださいね！"""
skit05_01#0,"""いろいろありがとうございました！<br>初めてづくしのハロウィン<br>本当に楽しかったです！"""
skit05_02#0,"""それにしても、びっくりです。<br>この私を具現化させた犯人が<br>まさかシャオだったなんて。"""
skit05_03#0,"""本物の私の願い通りみたいですし<br>実際、心ゆくまで満喫できましたから<br>いちおう感謝はしてますけどね。"""
11_voice_NPC_5532_100#3,"""今度はホウキで空飛びたーい、とか<br>キラキラかわいく変身したーい、とか<br>シャオにつぶやいてみます！"""
skit05_05#0,"""とにかく、最後まで楽しみましょう！<br>マジカル★シエラが、ふしぎな魔法で<br>貴方をエスコートしちゃいます☆"""
