text202005_1_1#0,"""수고했어~.<br>젝트 일행, 무척<br>즐거웠던 모양이야."""
11_voice_NPC_5644_106#0,"""우리도 여기서<br>점원 놀이를 하며 즐겼지만 말이야!<br>그래, 손님 역할 좀 해 줘!"""
text202005_2_1#0,"""카지노란 곳,<br>꽤 재미있네."""
text202005_2_2#0,"""람다 그라인더가 부족해서<br>카지노 코인을 벌러 갔다가<br>푹 빠져 버렸어."""
text202005_3_1#0,"""아, 나도 쿠나나<br>쿄쿠야 씨처럼<br>손가락을 굽혀 보고 싶다~."""
11_voice_NPC_5644_102#0,"""뭐, 우린 고대의 규율 때문에<br>굽힐 수 없지만 말이야~."""
text202005_4_1#0,"""어이, 머리색을 바꿀 때는<br>조심하라고."""
11_voice_NPC_5644_104#0,"""난 전에 원래 색이 뭔지<br>모르게 된 적이 있거든.<br>그땐 정말 곤란했어."""
text202005_4_3#0,"""캐릭터 생성 데이터는<br>따로 저장해 둬야겠어."""
text01#0,"""캐스트를 새롭게 꾸밀<br>액세서리라고?"""
text02#0,"""정말, 젝트 녀석<br>알 수 없는 걸 물어보네……<br>그래, 나라면……"""
text03#0,"""“안대”나 “원한의 망토”,<br>“엔젤란 윙” 같은 것도<br>어둠의 힘이 넘쳐서 좋을 것 같아!"""
text04#0,"""뭐, 내 멋대로의 취향이지만!<br>의외로 멋질지도 몰라?"""
text202005_5_1#0,"""뭐야?<br>아직 젝트 일행을 못 만났어?<br>가서 만나 줘."""
