text100#0,"""『데일리 오더』에 관하여"""
text101#0,"""「데일리 오더」란<br>매일 바뀌는 클라이언트 오더입니다.<br><br>에너미 토벌이나 아이템 수집 등은<br>완료하지 않아도 원하는 수량만큼 보고하여<br>그만큼의 보수를 받을 수 있는 것도 있습니다."""
Npc49_01_010#0,"""데일리 오더는<br>이름 그대로 날마다 내용이<br>바뀌는 의뢰예요!"""
Npc49_01_020#0,"""매일 와 주시면 좋겠어요!<br>그러면 저도 기쁘고요!"""
Npc49_01_030#0,"""하지만 조금 더 경험을 쌓은 뒤<br>와 주시겠어요!"""
ep6_sq00_01#0,"""데일리 오더는 이름 그대로<br>매일 내용을 바꿔 준비하고 있어요!<br>꼭 활용해 주세요!"""
ep6_sq00_02#0,"""매일 만나러 와 주시면<br>저도 기뻐요!<br>오늘도 힘내세요!"""
tutorial01_01#0,"""수고 많으셨어요!<br>저는 관리관 파이나예요.<br>데일리 오더를 담당하고 있어요!"""
tutorial01_02#0,"""이번에는 데일리 오더와<br>클라이언트 오더를 효율적으로<br>달성하는 요령을 알려 드릴게요."""
tutorial01_03#0,"""그건 바로!<br>같은 퀘스트에서 달성할 수 있는 오더를<br>한꺼번에 수주해 두는 거예요!"""
tutorial01_04#0,"""예를 들어 「임의의 에너미 격파」와<br>「다간 격파」 오더를 수주하고<br>다간을 쓰러뜨리면 둘 다 달성돼요!"""
tutorial01_05#0,"""같은 필드가 대상인 오더는<br>한꺼번에 달성할 기회예요.<br>꼭 한번 시도해 보세요!"""
tutorial01_tittel#0,"""『클라이언트 오더를 잘 받는 방법』에 관하여"""
tutorial01_tut01#0,"""클라이언트 오더는<br>다양한 캐릭터에게서 수주할 수 있습니다.<br><br>퀘스트를 출발하기 전에 지금부터 갈<br>필드에서 달성할 만한 오더를<br>한꺼번에 받아 두면 한 번의 플레이로<br>많은 오더를 클리어하고<br><yellow>효율적으로 보수를 획득<c>할 수 있습니다."""
tutorial01_tut02#0,"""클라이언트 오더에는<br>특정 에너미 격파가 대상인 <yellow>「토벌」<c>이나<br>특정 에너미를 쓰러뜨리면 드롭하는<br>아이템을 모으는 <yellow>「수집」<c> 등이 있으며<br><yellow>같은 에너미가 대상인 오더를<br>한꺼번에 받아 두는 것<c>도 보수를 획득하는<br>방법 중 하나입니다.<br><br>퀘스트를 시작하기 전에는<br>다양한 캐릭터의 오더를<br>확인해 둡시다."""
