text01#0,"""***"""
text01#1,"""Those Message Capsules Ash saw on Ragol are a great idea. Whoever thought of those must be a genius!"""
text02#0,"""If you're feeling isolated, reading the messages in those capsules can give you a sense of being connected to someone else."""
text03#0,"""When I go back to Ragol, I'm going to leave them behind wherever I go, for whoever comes after me to find."""
text01#2,"""When I was talking to Ash, he mentioned the words \""Blue Burst\""...<br>That got me wondering."""
text02#1,"""あたしが知らない未来に起きた<br>未知の現象……いや、事件？<br>未来にいったい、何が起きたの？"""
text03#1,"""But I guess learning any more would be dangerous. I'll just have to do my best when the time comes. That's the Hunters' way!"""
text01#3,"""あたしが行方不明ってことになったら<br>父さん、心配してくれるかな……"""
text02#2,"""When the Central Dome is up and running, we're going to signal the colony ship, Pioneer II. And the Principal of that ship..."""
text03#2,"""...is none other than my father, Colin Tyrell. At last... After all these years, we'll be able to see each other again."""
text04#0,"""He's stubborn, and annoying, and we always end up fighting, but...<br>I hope I'll get to see him soon."""
text01#4,"""You've done a lot for me. Don't worry, I'll go quietly when the time comes, you'll get no trouble from me."""
text02#3,"""え？\u3000いつまでも居て構わない？<br>うーん……そう言われると、残って<br>この世界を研究したくなっちゃうな……"""
text03#3,"""……なーんてね！\u3000向こうの世界には<br>やり残したことがある。未来は自分の<br>手で開拓するよ、ハンターとしてね！"""
