un_059020_0010#0,"""앗, <%me>！<br>마침 잘 왔어!"""
un_059020_0020#0,"""쫓기는 것 같아서<br>잠깐 숨겨 줬으면 해.<br>봐, 왔다!!"""
un_059020_0030#0,"""어머, 어머어머어머?<br>이상한 기척을 쫓아왔더니<br>결국 이곳까지 왔네요."""
un_059020_0040#0,"""그러니까 이건 말이죠.<br>이상한 건 바로 눈앞의 사람이라고<br>봐야 할까요?"""
un_059020_0050#0,"""이상한 기척?"""
un_059020_0060#0,"""무례하네"""
un_059020_0070#0,"""네, 이상한 기척이에요.<br>느껴지지 않나요?"""
un_059020_0080#0,"""후후후후, 무례한가요?<br>충분히 이상한 분이라고 생각하는데요."""
un_059020_0090#0,"""리사는 말이죠, 제 감각에 솔직하게<br>살아갈 뿐이거든요.<br>이상하다고 느끼면 그렇다고 말할 뿐이에요."""
un_059020_0100#0,"""하지만 이 이상한 느낌은<br>싫은 느낌과는 달라요.<br>눈앞에서 느껴지는 기척과 비슷하네요."""
un_059020_0110#0,"""으음? 그렇다면 이 이상한 기척은<br>역시 이쪽에서 나오는 건가요?"""
un_059020_0120#0,"""뭐, 리사는 심심풀이로<br>쫓아왔을 뿐이라서<br>어찌 되든 상관없지만요."""
un_059020_0130#0,"""그럼 리사는 가 볼게요.<br>이상한 기척의 주인에게도<br>안부 전해 주세요."""
un_059020_0140#0,"""그럼 이만, 그럼 이만 이만."""
un_059020_0150#0,"""……하아, 가 줬다.<br>뭐라 설명하기 힘든 무서움이 있었어."""
un_059020_0160#0,"""기척을 느낀 정도라면<br>기분 탓이겠거니 넘길 법도 한데……<br>확신하고 쫓아왔잖아."""
un_059020_0170#0,"""그만큼 자기 감각에<br>자신이 있다는 뜻이겠지만."""
un_059020_0180#0,"""아니면 나한테<br>뭔가 이상한 냄새라도 나나?<br>……그럴 리 없지."""
un_059020_0190#0,"""뭐, 모습이 보이지 않아도<br>눈치채는 사람은 눈치챈다는 거네.<br>역시 아크스라고 해야 하나?"""
