ra_051010_0001#0,"""A.P.241/10/3"""
ra_051010_0010#0,"""……그래서 이번에는<br>제가 적당히 둘러대 뒀어요."""
ra_051010_0020#0,"""아무리 수호휘사라도 정기<br>건강 검진은 꼭 받아야 해요.<br>알겠죠, 마토이 씨?"""
ra_051010_0030#0,"""네에."""
ra_051010_0040#0,"""<%me> 씨도<br>웃을 일이 아니에요. 똑같으니까요.<br>수호휘사라고 빠져나갈 생각 마세요."""
ra_051010_0050#0,"""2대째와 <%me><br>두 사람은 기이와 리이 때와 또 다른<br>특별한 수호휘사인 거지."""
ra_051010_0060#0,"""둘이 그렇게 되기까지<br>대체 무슨 일이 있었을까."""
ra_051010_0070#0,"""다커를 상대로<br>아주 오랫동안 이어진 장대하고도<br>엄청난 싸움이 있었죠!"""
ra_051010_0080#0,"""……뭐, 제가 태어나기 전이라<br>직접 본 건 아니지만요."""
ra_051010_0090#0,"""저기 시에라, 두 사람이 걸어온 길을<br>돌아볼 만한 건 없을까?"""
ra_051010_0100#0,"""내가 사라진 뒤 아크스에<br>무슨 일이 있었는지 보고 싶거든.<br>기록을 되짚어 본다든가."""
ra_051010_0110#0,"""아무리 그래도 그런 건……"""
ra_051010_0120#0,"""후후후, 있어요!"""
ra_051010_0130#0,"""있어!?"""
ra_051010_0140#0,"""<%me> 씨가<br>겪은 일은 아주 귀중한 자료라서<br>데이터베이스로 만드는 건 당연하죠!"""
ra_051010_0150#0,"""……아직 자료 정리가 끝나지 않아서<br><%me> 씨가 함께하지 않으면<br>정확하다고 장담할 수는 없지만요."""
ra_051010_0160#0,"""그럼 <%me><br>같이 지금까지 있었던 일을 돌아보자."""
ra_051010_0170#0,"""자료도 정리되고, 나도 모두의<br>지난 일을 알 수 있으니<br>서로 좋은 일 아닐까?"""
