un_059070_0010#0,"""선대!"""
un_059070_0020#0,"""우왓, 클라리스 클레이스.<br>갑자기 안기면 위험해."""
un_059070_0030#0,"""2대째를 선대라고 부르니<br>저 아이가 3대째인가?"""
un_059070_0040#0,"""아, 자료를 조금씩 보고 있어서<br>무슨 일이 있었는지는 대충 알아."""
un_059070_0050#0,"""그나저나 2대째가 있고<br>3대째도 있다는 게 재미있네."""
un_059070_0060#0,"""그럼 지금 이 자리에는<br>세 세대가 모두 모인 거네.<br>정말 귀중한 순간 아니야?"""
un_059070_0070#0,"""저기, <%me><br>혼자 중얼거리면서<br>뭐 하는 거야?"""
un_059070_0080#0,"""그러고 보니 나는 알마고<br>2대째는 마토이잖아.<br>3대째 이름은 뭘까?"""
un_059070_0090#0,"""이름……?"""
un_059070_0100#0,"""선대, 갑자기 무슨 말이야?<br>이름이 왜?"""
un_059070_0110#0,"""아, 그게 알마 씨가……<br>……참, 안 보였지."""
un_059070_0120#0,"""알마?"""
un_059070_0130#0,"""나는 알아!<br>선대의 선대 이름이잖아!"""
un_059070_0140#0,"""오, 나 유명해?"""
un_059070_0150#0,"""공부 열심히 했네,<br>클라리스 클레이스."""
un_059070_0160#0,"""후훗, 선대의 선대는 알마.<br>선대는 마토이잖아."""
un_059070_0170#0,"""그럼 <%me>！<br>내 이름은 뭐라고 생각해?"""
un_059070_0180#0,"""이름이 있어?"""
un_059070_0190#0,"""모르겠어"""
un_059070_0200#0,"""그래, 내가 태어난 과정을 생각하면<br>그렇게 여겨도 무리는 아니야……<br>하지만 이름은 있다!"""
un_059070_0210#0,"""후훗, 당연히 모르겠지!<br>아직 공개되지 않은 정보니까!"""
un_059070_0220#0,"""얼마 전 카스라가 허공기관의<br>자료를 뒤지다가 찾아 줬어."""
un_059070_0230#0,"""내 이름은 이리스다!"""
un_059070_0240#0,"""이리스?"""
un_059070_0250#0,"""그래! IRis-S 같은 표기였으니<br>아마 개체 번호 같은 거겠지만<br>이제 그걸 이름으로 쓰면 되겠지."""
un_059070_0260#0,"""휴이도 좋은 이름이라고<br>말해 줬고."""
un_059070_0270#0,"""그러니까 선대와 <%me><br>내가 클라리스 클레이스가 아니게 되면<br>이리스라고 불러 줘."""
un_059070_0280#0,"""물론 아직은<br>클라리스 클레이스라는 이름을<br>넘겨줄 생각이 없어."""
un_059070_0290#0,"""선대와 선대의 선대가 준 이름이야.<br>이 이름을 잇는 것도<br>내 자랑이니까."""
un_059070_0300#0,"""정말……아주 강한 아이네.<br>이름을 이어 준<br>클라리스 클레이스도 분명 기뻐할 거야."""
