un_059090_0001#0,"""A.P.241/12/15"""
un_059090_0010#0,"""후후후, 후후후후~"""
un_059090_0020#0,"""무슨 일이야, 시에라.<br>오늘따라 아주 신나 보이네."""
un_059090_0030#0,"""아니요, 좋은 일이 생길 사람은<br>제가 아니거든요.<br>그렇죠, 알마 씨."""
un_059090_0040#0,"""그렇지."""
un_059090_0050#0,"""잠깐 실례하지."""
un_059090_0060#0,"""마, 마리아 씨!?"""
un_059090_0070#0,"""응? 무슨 일이야?<br>수호휘사 둘에 샤오까지 모여서<br>나쁜 일이라도 꾸미는 거냐?"""
un_059090_0080#0,"""그런 건 카스라 역할이야.<br>나는 좋은 일만 생각한다고."""
un_059090_0090#0,"""말은 잘하는군, 이 악동아.<br>몰래 움직이고 있다는 건<br>사라에게 들었어."""
un_059090_0100#0,"""……시에라, 잠깐."""
un_059090_0110#0,"""아, 아니야, 2대째.<br>내가 부탁했어.<br>리이를 이곳으로 불러 달라고."""
un_059090_0120#0,"""어……?"""
un_059090_0130#0,"""기이가 잘 지내는 걸 보니<br>리이 모습도 보고 싶어졌거든.<br>이왕이면 불러 보자 싶었지."""
un_059090_0140#0,"""이제 이야기하거나 닿을 수는 없지만<br>기이와 리이는<br>내 소중한 친구야."""
un_059090_0150#0,"""친구가 잘 지내는 모습을 보고 싶었어.<br>그러니 고마워, 시에라."""
un_059090_0160#0,"""아니에요! 도움이 되어 기뻐요!"""
un_059090_0170#0,"""게다가 둘 다<br>이제 나이가 꽤 들었으니<br>슬슬 위험할지도 모르잖아."""
un_059090_0175#0,"""응?"""
un_059090_0180#0,"""마, 마리아 씨?<br>무슨 일이세요?"""
un_059090_0190#0,"""어쩐지 불쾌한 기운이 느껴졌는데<br>……기분 탓인가."""
un_059090_0200#0,"""아하하하, 놀랐네.<br>리이는 여전히<br>동작이 빠릿빠릿해서 재미있어."""
name01#0,"""？？？"""
name02#0,"""？？？"""
