un_059060_0001#0,"""A.P.241/12/8"""
un_059060_0010#0,"""……알마 씨."""
un_059060_0020#0,"""미안해, 시에라.<br>신경 써 줬는데<br>망쳐 버렸네."""
un_059060_0030#0,"""기이 모습을 볼 수 있어서<br>기뻤어……응, 정말 기뻤어.<br>그것만으로도 가슴이 벅찼어."""
un_059060_0040#0,"""하지만 모두 즐겁게 이야기하는데<br>나만 그곳에 닿지 못하니까……"""
un_059060_0050#0,"""나만 없는 세상이<br>그곳에 있었으니까.<br>……왠지 외로워졌어."""
un_059060_0060#0,"""이렇게 될 줄 알았어.<br>그런데도 어디로 갔는지 알아보고<br>미련을 못 버리는 내가 한심하지."""
un_059060_0070#0,"""죄송해요……정말 죄송해요!<br>제가……너무 잔인한 짓을……!"""
un_059060_0080#0,"""잔인한 게 아니야.<br>이건 내가 선택한 현실이야."""
un_059060_0090#0,"""시에라는 아무 잘못 없어.<br>……누구도 잘못하지 않았어."""
un_059060_0100#0,"""그러니 부탁할게.<br>스스로를 나쁜 사람으로 만들지 마."""
