CampshipEnter#0,"""Entering Campship"""
NotAccessQuest#0,"""クエスト受注前なのでアクセスできません。"""
WarehouseTitle#0,"""Storage Terminal"""
PartnerObject_ErrorTitle#0,"""パートナー呼び出し端末"""
PartnerObject_Error1#0,"""現在、パートナー呼び出し端末を使用することはできません。"""
PartnerObject_Error2#0,"""このクエストでは、パートナーを呼び出すことはできません。"""
PartnerObject_Error3#0,"""Because of your matching settings, you cannot invite partner characters."""
GuildWarehouseTitle#0,"""Team Storage Terminal"""
TerminalTitle#0,"""Information Terminal"""
ShopTitle#0,"""Shop Terminal"""
MedicalTitle#0,"""Medical Terminal"""
QuestTitle#0,"""Quest Counter"""
ApcTitle#0,"""ＡＰＣ端末"""
AccessFaild#0,"""一度決定した後は<br>アクセスできません。"""
NonReader#0,"""この端末は<br>現在パーティーリーダーしか<br>アクセスできません。"""
NotClear#0,"""この端末は<br>クエストクリアもしくは<br>クエスト失敗をしない限り<br>アクセスできません。"""
NotClearTelepipe#0,"""この端末は<br>クエストクリアもしくは<br>クエスト失敗をしない限り<br>アクセスできません。"""
TerminalDisable#0,"""現在使用することができません。"""
TerminalDisableAPC#0,"""現在使用することができません。"""
TerminalDisableGuildRoom#0,"""Team Storage unavailable until purchased <br>with Team Points. <br><br>※You must have an active Premium Set <br>in order to use Team Storage."""
TerminalDisableGuildMember#0,"""Team Storage is only available to <br>Common Members or higher.<br><br>※You must have an active Premium Set <br>in order to use Team Storage."""
TerminalDisableGuildMember2#0,"""<pict Arcscash><c ff4f3f>AC Content<c><br>You do not have access to the selected<br>function, as the use period has expired.<br><br>By purchasing a <yellow>Premium Set<c>,<br>this feature can be enabled immediately.<br>Go to the purchase confirmation screen now?<br><br> <red>※ If you would like to purchase a ticket<br> to unlock only a specific feature, please<br> visit the ""AC Shop"" from the main menu.<c>"""
TerminalDisableCancelTower#0,"""Cannot be used until all party members return to the campship."""
RetryFaild#0,"""Quest availability duration has expired.<br>Cannot retry."""
ClearLimit#0,"""You cannot attempt the quest again because <br>you have exceeded the quest clear limit."
