name_7740#0,"""트랙스탠"""
ssn_015063_0101#0,"""좋아.<br>그럼, 이야기 하도록 하지."""
ssn_015063_0102#0,"""그녀석의 이름은, <br>\""에인션트 에너미\""라고 한다."""
ssn_015063_0103#0,"""이야기는, 로스트 센트럴이, <br>\""센트럴 시티\""라고 불리던 시절로 거슬러 올라간다."""
ssn_015063_0104#0,"""그 지역이, \""다크 펄스\""의 공격으로, <br>그 모양이 된 것은, 너도 알고있겠지."""
ssn_015063_0105#0,"""정확히는, 돌즈의 총 공격이지."""
ssn_015063_0106#0,"""과거의 크바리스아크스는, <br>공격 자체는 격퇴 했다고 알려져있다."""
ssn_015063_0107#0,"""단, 그 후에 원인 불명의 급속도의 한랭화로 인해, <br> 시티는 얼음 속에 갇히고 말았다."""
ssn_015063_0108#0,"""그때 활동을 정지하여, <br>빙설의 안에 갇혀버린것이 에인션트 에너미이다."""
ssn_015063_0109#0,"""우리들의 활동에, 반응한 것인지는 알 수 없지만, <br>그 에너미가 움직이기 시작 한 모양이다."""
ssn_015063_0110#0,"""조우한 선발대의 아크스는, <br>도망쳐 왔다는 것 같다."""
ssn_015063_0111#0,"""강적을 원하는 너라면, <br>갑자기, 흥미가 생기지 않았나."""
ssn_015063_0112#0,"""레이요르드 협만에서, 에인션트 에너미의<br>목격 정보가 들어온 위치를 알려주지."""
ssn_015063_0113#0,"""우선은, 격파 까지는 아니더라도, <br>데이터의 수집은 도와 줬으면 한다."""
ssn_015063_0114#0,"""방한대책과 장비를 갖추어, <br>가 봐 주게."""
