name_7654#0,"""코뮤나"""
ssn_015140_0001#0,"""ヤッホー.<br>아크스の仲間はできた？"""
ssn_015140_0002#0,"""커뮤니케이션の仕方いろいろあるから, <br>アタシが, 教えてあげよっかー."""
npc_menu_0001#0,"""태스크 수주"""
npc_menu_0002#0,"""커뮤니케이션에 관해 묻기"""
npc_menu_0003#0,"""메뉴 닫기"""
ssn_015140_0101#0,"""ヤッホー.いいところに来たねー.<br>ちょうどキミと, お話ししたかったんだ."""
ssn_015140_0102#0,"""キミは, 仲間としっかり커뮤니케이션, <br>とれてるかな？"""
ssn_015140_0103#0,"""よかったら, アタシがコツを教えてあげよっかー."""
ssn_015140_0201#0,"""커뮤니케이션でなにが大事かって, <br>あいさつとかお礼みたいな, 初歩的なことだと思うんだよ, うん."""
ssn_015140_0202#0,"""それをね, どんどんやっていこー！<br>……って, はなし."""
ssn_015140_0203#0,"""さあ, 恥ずかしがらずに.<br>やってみよー."""
ssn_015140_0301#0,"""そっかー.気になったら, また来てね.<br>待ってるよ！"""
ssn_015140_0401#0,"""うんうん, 上手くできたみたいだね！"""
ssn_015140_0402#0,"""そうやって, 仲間とたくさん<br>커뮤니케이션とってみてねー."""
ssn_015140_0501#0,"""ヤッホー.<br>아크스の仲間はできた？"""
ssn_015140_0502#0,"""커뮤니케이션の仕方いろいろあるから, <br>アタシが, 教えてあげよっかー."""
76540102_1#0,"""\""스탬프\""에 관하여"""
76540102_2#0,"""\""채팅\""에 관하여"""
76540102_3#0,"""\""로비 액션\""에 관하여"""
76540102_4#0,"""\""모션 변경\""에 관하여"""
76540102_5#0,"""\""숏컷 워드\""에 관하여"""
76540102_6#0,"""\""오토 워드\""에 관하여"""
76540102_7#0,"""\""그룹 채팅\""에 관하여"""
76540102_8#0,"""\""심볼 아트\""에 관하여"""
76540102_9#0,"""묻고 싶은 것이 없다"""
