quiz_00#0,"""없음"""
name010#0,"""나즌"""
text010#0,"""그럼, 다음 퀴즈로 넘어가겠습니다!"""
text020#0,"""이름하여, \""다섯 쌍둥이\"" 퀴즈!"""
text030#0,"""이야기를 듣고 잘 판단해 주세요.<br>렛츠 씽킹!"""
text040#0,"""타임 업!"""
text050#0,"""\""다섯 쌍둥이\"" 퀴즈는 여기까지입니다.<br>다음 퀴즈 장소로 이동합시다!"""
quiz_correct#0,"""축하드립니다!"""
quiz_incorrect#0,"""아쉽네요…."""
quiz01#0,"""다섯쌍둥이의 이야기를 들어 보고,<br>산장에 <red>가장 먼저 도착한 사람<c>을 선택해 주세요."""
quiz01_journal#0,"""산장에 <yellow>가장 먼저 도착<c>한 사람을 맞춰보자!"""
quiz02#0,"""다섯쌍둥이의 이야기를 들어 보고,<br>산장에 <red>두 번째로 도착한 사람<c>을 선택해 주세요."""
quiz02_journal#0,"""산장에 <yellow>두 번째로 도착<c>한 사람을 맞춰보자!"""
quiz03#0,"""다섯쌍둥이의 이야기를 들어 보고,<br>산장에 <red>세 번째로 도착한 사람<c>을 선택해 주세요."""
quiz03_journal#0,"""산장에 <yellow>세 번째로 도착<c>한 사람을 맞춰보자!"""
quiz04#0,"""다섯쌍둥이의 이야기를 들어 보고,<br>산장에 <red>네 번째로 도착한 사람<c>을 선택해 주세요."""
quiz04_journal#0,"""산장에 <yellow>네 번째로 도착<c>한 사람을 맞춰보자!"""
quiz05#0,"""다섯쌍둥이의 이야기를 들어 보고,<br>산장에 <red>마지막으로 도착한 사람<c>을 선택해 주세요."""
quiz05_journal#0,"""산장에 <yellow>마지막으로 도착<c>한 사람을 맞춰보자!"""
quiz_select1#0,"""타이바스"""
quiz_select2#0,"""툴리"""
quiz_select3#0,"""이루마"""
quiz_select4#0,"""쿠카"""
quiz_select5#0,"""메리"""
quiz_answer1#0,"""정답은…<br><red>타이바스<c>였습니다!"""
quiz_answer2#0,"""정답은…<br><red>툴리<c>였습니다!"""
quiz_answer3#0,"""정답은…<br><red>이루마<c>였습니다!"""
quiz_answer4#0,"""정답은…<br><red>쿠카<c>였습니다!"""
quiz_answer5#0,"""정답은…<br><red>메리<c>였습니다!"""
