name_7401#0,"""스피더"""
ssn_015160_001_0001#0,"""잘 왔어！<br>나는 훈련교관 스피더라고 해."""
ssn_015160_001_0002#0,"""하아……이야기 좀 들어봐.<br>요즘 아크스는, \""달리기\""가 엉망이야."""
ssn_015160_001_0003#0,"""그래서 말이지, 그 달리기란걸<br>엄청나게 단련 할 수 있는 머신이 있거든."""
ssn_015160_001_0004#0,"""뭐？\u3000아까부터 하는 말이 영양가가 없다고？<br>자잘한 문제는 신경쓰지 말자구."""
ssn_015160_001_0005#0,"""그래서, 머신을 써서 니 달리기를, <br>좀 보여줬으면 하는거지."""
ssn_015160_001_0201#0,"""오……그러냐.<br>니 달리는 모습이 보고싶었는데 말이지."""
ssn_015160_001_0301#0,"""어-이！<br>너 요즘 어때, 운동 좀 하고있냐？"""
ssn_015160_001_0302#0,"""속 시원하게 달리기 좀 하고 , <br>상쾌해져 보자구！"""
ssn_015160_001_0401#0,"""오, 왔냐！<br>너、“바람”이 돼 보고 싶지 않냐？"""
ssn_015160_001_0402#0,"""그지？\u3000돼 보고 싶지？<br>있다구、방법이。"""
ssn_015160_001_0403#0,"""전에 말한 머신으로 、<br>플로팅 보드의 “질주”를 훈련 할 수 있다고"""
ssn_015160_001_0404#0,"""그래서、<br>좀만 해 봐줬으면 하는거지。"""
ssn_015160_001_0501#0,"""오……그러냐.<br>니가 바람이 되는걸 보고싶었는데 말이지."""
npc_menu_0001#0,"""태스크를 연다"""
npc_menu_0002#0,"""\""필드 레이스\""에 관하여"""
npc_menu_0003#0,"""\""필드 레이스：주파\""에 관하여"""
npc_menu_0004#0,"""묻고 싶은 것이 없다"""
npc_menu_0005#0,"""“필드 레이스：플로팅보드”에 대해서"""
