name_7199#0,"""구이덴"""
ssn_015084_0101#0,"""좋아, 그럼 이야기를 시작하지."""
ssn_015084_0102#0,"""각각의 무기에는, <br>단련 가능한 한계라는 것이 있다."""
ssn_015084_0103#0,"""한계를 넘어 단련 했다 하더라도, <br>출력이 불안정하거나, 부서지거나 하기 때문에 본전도 찾을 수 없지."""
ssn_015084_0104#0,"""때문에, 무기를 안정적으로 강화하기 위한 촉매가 필요하게 된다."""
ssn_015084_0105#0,"""그것이, \""암즈 리파이너\""라는 물건이다."""
ssn_015084_0106#0,"""희소한 것이지만, <br>이것은 아이템 랩에서 생성 할 수 있다."""
ssn_015084_0107#0,"""지금 가진 무기를, 더욱 강화하기 위해서, <br>반드시 필요한 물건이다."""
ssn_015084_0108#0,"""스트라그먼트A를 10개, 스트라그먼트B를 10개, 스트라그먼트C를 10개, N-엑스큐브를 1개 입수했습니다."""
ssn_015084_0109#0,"""2번째 이후 캐릭터의 감액 보수의 이야기"""
ssn_015084_0110#0,"""필요한 소재를 확인해서, 정련을 해 보자."""
