name_7402#0,"""웰미나"""
ssn_015171_0101#0,"""알았어!<br>그럼 가르쳐줄게. 제대로 들어야 돼?"""
ssn_015171_0102#0,"""……어, 어라?<br>클래스가 웨이커가 아닌가 보네…."""
ssn_015171_0103#0,"""전투법을 배우고 싶으면 \""클래스 카운터\""에서<br>클래스를 웨이커로 바꾸고 와."""
ssn_015171_0104#0,"""그리고, 웨이커의 \""클래스 스킬\""도<br>배워 놔야 해, 꼭이야!"""
ssn_015171_0105#0,"""……뭐 그래도.<br>그 전에 웨이커가 어떤 클래스인지 얘기는 해둘게."""
ssn_015171_0106#0,"""웨이커는 세 종류의 \""패밀리어\""와 함께 싸워.<br>에너미와의 거리 같은 걸 보고 상황에 따라 나눠 쓰는 거야. 굉장하지?"""
ssn_015171_0107#0,"""……어?<br>패밀리어가 뭐냐고?"""
ssn_015171_0108#0,"""패밀리어는 웨이커의 \""동료\"", <br>……아니, \""가족\""같은 존재들이야."""
ssn_015171_0109#0,"""패밀리어들과 함께 싸울 수도 있고,<br>전투를 전부 맡길 수도 있어."""
ssn_015171_0110#0,"""그러니까, 일단 배워두면 좋은 클래스 스킬은<br>\""택트 기어\""랑 \""패밀리어 어시스트\""야."""
ssn_015171_0111#0,"""스킬을 많이많이 써서 패밀리어랑 사이좋게 싸워 봐!<br>그럼 과제를 내줄테니 해 봐!"""
