name_7405#0,"""슈라프트"""
ssn_015200_0001#0,"""そこの君, 良い目をしているな.<br>戦う아크스の目だ."""
ssn_015200_0002#0,"""ぜひ教えたいことがあるんだが,<br>もう少し経験を積む必要がありそうだな."""
ssn_015200_0101#0,"""やぁ, 잘 왔어.<br>君が来るのを待っていたよ."""
ssn_015200_0102#0,"""君に아크스の戦いかたについて教えたいのだが,<br>少し時間をもらえるか?"""
ssn_015200_0103#0,"""興味があるなら, 話を聞いていってくれ."""
ssn_015200_0201#0,"""キミに渡した\""배틀 트리거\""は,<br>エアリオリージョンの\""イエローポータル\""用だ."""
ssn_015200_0202#0,"""에아리오의 옐로우 포탈은 서부 에아리오에 있어.<br>건투를 빌지!"""
ssn_015200_0301#0,"""いつでも待っているぞ!"""
ssn_015200_0401#0,"""俺の教えたことを忘れないようにな!"""
ssn_015200_0402#0,"""これからも精進してくれ!"""
