name_7199#0,"""구이덴"""
ssn_015080_0001_001#0,"""뭔가 곤란한 일이 있다면<br>내 조언을 떠올려 봐라."""
ssn_015080_0001_002#0,"""그럼, 서로 열심히 하자고."""
ssn_015080_0001#0,"""안녕, 너군."""
ssn_015080_0002#0,"""흠, 꾸준히 단련하고 있는 것 같군.<br>이전보다 크게 성장한 것 같군."""
ssn_015080_0003#0,"""넌 지금으로서도 충분히 강하다."""
ssn_015080_0004#0,"""하지만 난 그게 결코<br>네 한계가 아니라고 생각한다."""
ssn_015080_0005#0,"""넌 더욱 강해질 수 있어.<br>더 높은 경지에 이르러 볼 생각은 없나?"""
ssn_015080_0101#0,"""강해지는 법은 하나만 있는 게 아니다.<br>갖가지 시험해 가면서 네 한계에 도전해 봐라."""
ssn_015080_0102#0,"""네가 성장한 모습을<br>기대하고 있겠다."""
ssn_015080_0201#0,"""알았다. 혹 관심이 생기면 다시 찾아와 줘.<br>언제든 환영하지"""
ssn_015080_0301#0,"""이렇게 빨리 목표를 달성하다니, 놀랍군."""
ssn_015080_0302#0,"""네가 서 있는 모습만으로도<br>네가 한 단계 성장했다는 게 느껴지는군."""
ssn_015080_0303#0,"""그 기세로 다음 전투에도 대비해 줘."""
ssn_015080_1001#0,"""다시 한 번<br>한 단계 성장한 기분은 어떤가?"""
ssn_015080_1002#0,"""만족하고 있을지,<br>뭔가 부족하다고 생각하고 있을지……."""
ssn_015080_1003#0,"""사실, 아크스는 성장의 한계를 뛰어 넘었을 때<br>한 단계 더 \""성장\""하기도 하."""
ssn_015080_1004#0,"""하지만 그 성장은 전투력에는 나타나지 않지."""
ssn_015080_1005#0,"""무슨 소리인지 알고 싶지 않나?"""
ssn_015080_1101#0,"""한 클래스를 마스터하고<br>그 한계를 또 뛰어넘은 아크스에겐 \""증표\""가 나타난다 하더군."""
ssn_015080_1102#0,"""네게 그 \""증표\""가 나타났는진 모르겠지만,<br>자신을 단련하는 것의 일환으로 도전해 보는 게 어떤가?"""
ssn_015080_1201#0,"""그렇군.<br>더 강한 경지에 오르고 싶어지면 또 찾아와다오."""
ssn_015080_2001#0,"""더 강한 힘을 원하는 모양이군.<br>좋다."""
ssn_015080_2002#0,"""이번엔 무기를 더 강하게 만드는 법을<br>이야기하지."""
ssn_015080_2003#0,"""어떤가?<br>관심이 있나?"""
ssn_015080_2101#0,"""\""암즈 리파이너\""는<br>희귀한 물건이지만 아이템 랩에서 생성할 수 있다."""
ssn_015080_2102#0,"""지금 가진 무기를 더욱 강화하기 위해<br>반드시 필요한 물건이지."""
ssn_015080_2103#0,"""필요한 소재를 확인하고 강화해 보도록 해."""
ssn_015080_2201#0,"""그렇군.<br>더 강한 무기에 관심이 생기면 또 찾아와다오."""
ssn_015080_2301#0,"""뭔가 곤란한 일이 있다면<br>내 조언을 떠올려 봐라."""
ssn_015080_2302#0,"""그럼, 서로 열심히 하자고."""
