name_7746#0,"""아티"""
ssn_015185_0001#0,"""この크바리스に存在する<br>\""트레이니아 어드밴스\""という訓練施設を知っているかい?"""
ssn_015185_0002#0,"""なんでも, 上級者向けのトレイニアという感じらしくてな."""
ssn_015185_0003#0,"""リテムにあるトリニテスなんかに, <br>近い施設みたいだね."""
ssn_015185_0101#0,"""来てくれたんだね.<br>ありがとう."""
ssn_015185_0102#0,"""キミは, この크바리스に存在する<br>\""트레이니아 어드밴스\""という訓練施設を知っているかい?"""
ssn_015185_0103#0,"""仮想空間を利用した訓練施設だが, <br>通常のトレイニアとは少し違う."""
ssn_015185_0104#0,"""かつての크바리스の住人たちが, 利用していたらしいが……, <br>今でも問題なく稼働している."""
ssn_015185_0105#0,"""興味が어라ば, <br>どういういうものか教えてやろうか?"""
ssn_015185_0201#0,"""캐논볼 ランブルは, <br>仲間との連携が重要だ."""
ssn_015185_0202#0,"""ぜひ, 挑戦してみてくれ."""
ssn_015185_0301#0,"""そうか, また来いよ."""
ssn_015185_0401#0,"""트레이니아 어드밴스を活用しているかい?"""
ssn_015185_0402#0,"""너는 제법 소질이 있어.<br>그 기세로 한층 더 실력을 키워줘."""
