name_7429#0,"""크리스토발"""
ssn_015030_0001_001#0,"""잘 했다.<br>마음 속 깊이 감사하고 있어."""
ssn_015030_0001_002#0,"""네겐 정말 매번 신세만 지는구나.<br>이번 일 뿐만이 아니라, 여태까지의 모든 협력에 감사를 표하지."""
ssn_015030_0001_003#0,"""우리가 해 줄 수 있는 게 많지는 않지만<br>앞으로도 이 캠프는 마음대로 써도 돼."""
ssn_015030_0001_004#0,"""우린 임무가 있어서<br>당분간 크바리스에 머무를 거야."""
ssn_015030_0001_005#0,"""크바리스에서 활동할 때는 염려 말고 들러 줘.<br>언제든 환영하지."""
ssn_015030_0001_006#0,"""그럼, 앞으로도 잘 부탁해."""
ssn_015030_0001_007#0,"""용감한 아크스에게 경의를 표하네."""
ssn_015030_0001_008#0,"""앞으로도 이 캠프는 마음대로 써도 돼.<br>나도 네 힘을 빌리도록 하지."""
ssn_015030_0001_009#0,"""용감한 아크스에게 경의를 표하네."""
ssn_015030_0001_010#0,"""안녕, 이야기는 들었다.<br>무사히 이루마를 찾아냈다지?"""
ssn_015030_0001_011#0,"""이루마가 가져온 정보들도<br>제대로 입수했다."""
ssn_015030_0001_012#0,"""우리도 여러 모로 준비가 필요하겠어."""
ssn_015030_0001_013#0,"""이래저래 해도,<br>몸이 자본이니 우선 몸부터 만들어야지."""
ssn_015030_0001_014#0,"""그래서! 선발대 내에서<br>자주적으로 강화 프로그램을 실시하기로 했어."""
ssn_015030_0001_015#0,"""일반적인 임무보다 압도적으로 어려운<br>내용으로 이루어져 있지."""
ssn_015030_0001_016#0,"""어때, 참가해 볼 생각 없나?<br>네게도 좋은 경험이 될 거라고 생각하거든."""
ssn_015030_0001#0,"""안녕, 이야기는 들었다.<br>무사히 이루마를 찾아냈다지?"""
ssn_015030_0002#0,"""이루마가 가져온 정보들도<br>제대로 입수했다."""
ssn_015030_0003#0,"""우리도 여러 모로 준비가 필요하겠어."""
ssn_015030_0004#0,"""이래저래 해도,<br>몸이 자본이니 우선 몸부터 만들어야지."""
ssn_015030_0005#0,"""그래서! 선발대 내에서<br>자주적으로 강화 프로그램을 실시하기로 했어."""
ssn_015030_0006#0,"""일반적인 임무보다 압도적으로 어려운<br>내용으로 이루어져 있지."""
ssn_015030_0007#0,"""어때, 참가해 볼 생각 없나?<br>네게도 좋은 경험이 될 거라고 생각하거든."""
ssn_015030_0101#0,"""힘든 전투가 될지도 모르지만<br>너라면 분명 할 수 있을 거다."""
ssn_015030_0102#0,"""낭보를 기다리겠다."""
ssn_015030_0201#0,"""그런가, 유감이다.<br>생각이 바뀌면 말을 걸어줘."""
ssn_015030_0301#0,"""수고 많았어.<br>강적을 쓰러트린 기분이 어때?"""
ssn_015030_0302#0,"""아니, 네 정도면 이미<br>더 강한 상대와도 싸워 봤을지도 모르겠군."""
ssn_015030_0303#0,"""어찌 됐든<br>기대한 만큼의 성과를 내 줬어."""
ssn_015030_0304#0,"""이대로면 이 강화 프로그램을<br>끝까지 완수해낼 수 있겠군."""
ssn_015030_0305#0,"""응? 뭔가?<br>설마 이걸로 끝이라고 생각했나."""
ssn_015030_0306#0,"""미안하지만 이 정도로 끝낼 수는 없지.<br>우리 강화 프로그램은 어지간한 각오로는 달성할 수 없어."""
ssn_015030_0307#0,"""현재 우리 대원 중 마지막까지 해낸 사람은<br>아직 한 명도 없지."""
ssn_015030_0308#0,"""お前さんがどこまでやれるのか, <br>見届けさせてもらうぞ."""
ssn_015030_0309#0,"""では, 準備ができたらメニューの続きをやろう."""
ssn_015030_1001#0,"""お, 準備ができたか？"""
ssn_015030_1101#0,"""크바리스 선발대강화 프로그램は, <br>ここからが本番だ."""
ssn_015030_1102#0,"""お前さんがどこまでやれるのか.<br>前回の勝利が, まぐれでないことを期待しているぞ."""
ssn_015030_1201#0,"""焦る必要はない.<br>ゆっくり時間をかけてから再開するといい."""
ssn_015030_1301#0,"""수고 많았어."""
ssn_015030_1302#0,"""さすがに\""드레드 에너미\""との連戦は, <br>お前さんでもキツかっただろう."""
ssn_015030_1303#0,"""だがな, 今後立ち向かう相手は, <br>それ以上の強敵となるだろう."""
ssn_015030_1304#0,"""에아리오 타운のような悲劇は, 二度と繰り返してはならない.<br>そのために, 強い아크스をひとりでも多く育てたいんだ."""
ssn_015030_1305#0,"""……それだけじゃない."""
ssn_015030_1306#0,"""에아리오 타운で……散っていった者たちの無念を, <br>晴らしてやりたいんだよ."""
ssn_015030_1307#0,"""ん？\u3000なぜ, 俺が에아리오 타운のことを, <br>そこまで気にするのかって？"""
ssn_015030_1308#0,"""俺は昔, 에아리오 타운に駐屯していた時期があるんだ.<br>まだ駆け出しの아크스だった頃だ."""
ssn_015030_1309#0,"""だから, あの町のことはよく知っている.<br>가로아にも, ずいぶんと世話になったものさ."""
ssn_015030_1310#0,"""가로아たちにかわって, この돌즈との戦いに勝利する.<br>その気持ちはお前さんも一緒だろう."""
ssn_015030_1311#0,"""ならば, この프로그램を続けてくれ.<br>お前さんなら, もっと強くなれるはずだ."""
ssn_015030_2001#0,"""休憩は済んだか？<br>강화 프로그램を再開するぞ."""
ssn_015030_2101#0,"""ここで諦めるようじゃ, <br>가로아の強さには遠く及ばないぞ."""
ssn_015030_2102#0,"""お前さんは今, 가로아の背中を追っかけているんだ.<br>そのつもりで挑んでくれ."""
ssn_015030_2201#0,"""自分のペースは, 自分で考ればいい.<br>無理をする必要はないからな."""
ssn_015030_2301#0,"""수고 많았어.<br>ゆっくり休んでくれ."""
ssn_015030_2302#0,"""お前さんの戦う姿は, <br>かつての가로아と重なって見えるときがある."""
ssn_015030_2303#0,"""あの男は強い아크스だったが, <br>ただ強いだけではなかった."""
ssn_015030_2304#0,"""なんのために強くあるのか, <br>その想いにこそ, 가로아の強さの根幹があったように思う."""
ssn_015030_2305#0,"""에아리오 타운のリーダーとして, <br>あいつがどれほどの想いを背負って戦っていたか……."""
ssn_015030_2306#0,"""情けない話だが, 俺がそのことに気がつけたのは, <br>あいつの死を報告で受けてからだったよ."""
ssn_015030_2307#0,"""お前さんも, 自分の信念を決して見失うな.<br>それが, お前さんを成長させる大きな力となるはずだ."""
ssn_015030_2308#0,"""아크스の先輩として, <br>俺なりのアドバイスだ."""
ssn_015030_2309#0,"""さあ, 強化訓練もいよいよ大詰めだ.<br>休憩を終えたら, 再開するぞ."""
ssn_015030_3001#0,"""では, いよいよ最後の挑戦だ."""
ssn_015030_3002#0,"""ここまで来たら, あとは気力の勝負だ.<br>最後まで戦い抜いてくれ."""
ssn_015030_3101#0,"""ここまで来たら, あとは気力の勝負だ."""
ssn_015030_3102#0,"""必ずやってくれると信じている.<br>お前さんの信念を見せてくれ."""
ssn_015030_3201#0,"""まだ, 疲れが残っているようだな.<br>呼吸を整えて, 落ち着いてから再開しろ."""
ssn_015030_3301#0,"""よくやった.<br>まさに偉業と呼ぶに相応しい成果だ."""
ssn_015030_3302#0,"""가로아は死んでしまった.<br>それは아크스にとって, 大きな損失に違いない."""
