name_7437#0,"""알바로"""
ssn_014960_0001#0,"""いつの間にか, ここもヒトが増えたね."""
ssn_014960_0002#0,"""この地で活動する아크스が増えてくれるのは, <br>僕としても大歓迎だよ."""
ssn_014960_0101#0,"""キミ, 베르가나 유적にはもう行ってみたかい？"""
ssn_014960_0102#0,"""僕は, キミたちが来る前から, <br>あそこの調査をしていてね."""
ssn_014960_0103#0,"""僕が集めた情報は,  선발대にも共有しているよ.<br>なにかの役に立つといいんだけど."""
ssn_014960_0104#0,"""それで, 最近ちょっと困ったことがあってね."""
ssn_014960_0105#0,"""もしよかったら, 腕に覚えのあるキミに<br>話を聞いてもらいたいんだ."""
ssn_014960_0201#0,"""베르가나 유적の에너미討伐, <br>よろしく頼むよ."""
ssn_014960_0202#0,"""気をつけて行ってきてくれ."""
ssn_014960_0301#0,"""そうか…….<br>まあ, キミはキミで大変そうだからね."""
ssn_014960_0302#0,"""もし気がむいたら, また声をかけてほしいな."""
ssn_014960_0401#0,"""유적の에너미討伐, ありがとう.<br>これでまた, 調査を進められそうだ."""
ssn_014960_0402#0,"""聞いているかもしれないけど, <br>この크바리스は, 昔はたくさんのヒトが住んでいたんだよ."""
ssn_014960_0403#0,"""だけど, 大きな戦いがあって, <br>ほとんどが死んでしまった……."""
ssn_014960_0404#0,"""라트바산にあった彼らの 시티は, <br>雪と氷に埋もれてしまった."""
ssn_014960_0405#0,"""生き残った一部は, 에아리오の센트럴 시티や, <br>리템 시티に移り住んだと言われているけどね."""
ssn_014960_0406#0,"""베르가나 유적は, そのバックアップみたいな位置づけなんだ.<br>あそこにも, 多くの建物が埋まっている."""
ssn_014960_0407#0,"""地表に見えるのは, <br>高い建物の頭の部分だったりするんだよ."""
ssn_014960_0408#0,"""僕が調べられたのは, <br>その頭の部分のほんの一握りだけ."""
ssn_014960_0409#0,"""でも, キミたちが来てくれたおかげで, <br>調査は大きく進むと信じている."""
ssn_014960_0410#0,"""画期的な돌즈への対抗手段も, <br>見つかるかもしれない."""
ssn_014960_0411#0,"""今回は, 協力してくれてありがとう.<br>感謝するよ."""
ssn_014960_0412#0,"""また, なにかあったら, <br>よろしく頼む."""
ssn_014960_0501#0,"""僕の研究も, <br>いつか実を結ぶ日が来るはず."""
ssn_014960_0502#0,"""根気強く유적の調査を続けていくつもりだ."""
