name_7436#0,"""홀사"""
ssn_015050_0001#0,"""이 선발대는, 대부분이 에아리오의 아크스다.<br>리템 출신은, 나 정도겠지."""
ssn_015050_0002#0,"""그래서, 그들 집단에, 자꾸 들어가려 하지 않으면.<br>고립 되어버려서, 임무에 지장을 주게 된다."""
ssn_015050_0101#0,"""들었다.<br>또 다시 대 활약을 했다고？"""
ssn_015050_0102#0,"""대원들 사이에서도, <br>네 이야기는 자자하더군."""
ssn_015050_0103#0,"""그래서 너에게, 부탁 하고 싶은것이 있다.<br>사람 돕기하고 생각하고, 들어주지 않겠나？"""
ssn_015050_0201#0,"""붉은 컨테이너의 조사를, 부탁한다.<br>내용물을 확인하는것 만으로 좋다."""
ssn_015050_0202#0,"""갯수는, 가능한 많이 부탁한다 .<br>물론, 크바리스에 있는것만이 대상이다."""
ssn_015050_0203#0,"""그럼, 부탁한다."""
ssn_015050_0301#0,"""그렇군…….뭐, 하는 수 없지.<br>다음에 또, 부탁한다."""
ssn_015050_0401#0,"""오오, 제대로 데이터가 모아져 있군.<br>이거라면, 대장에게 좋은 보고를 올릴 수 있겠어."""
ssn_015050_0402#0,"""신세를 졌군, 감사한다.<br>이 은혜는, 꼭 갚도록 하겠다."""
ssn_015050_0501#0,"""컨테이너의 데이터수집, 도움이 되었다.<br>대장도 흡족해 하는것 같더군."""
ssn_015050_0502#0,"""리템의 아크스는, 받은 은혜를 절대로 잊지 않는다.<br>무슨 일이 있거든, 말해주게."""
