name_7234#0,"""패피 랍피"""
name_7224#0,"""시트레"""
ssn_019080_002_0001#0,"""안녕, 너는 랍피를 좋아하니!?"""
ssn_019080_002_0002#0,"""나는 정말 좋아해！"""
ssn_019080_002_0003#0,"""……앗,미안해.<br>나란 사람이 말을 너무 급하게 해버렸네."""
ssn_019080_002_0004#0,"""자기 소개가 늦었지. 난, 랍피가 세상에서 제일 좋은<br>\""랍피 형\"" 패피 랍피야"""
ssn_019080_002_0005#0,"""들어봐!"""
ssn_019080_002_0006#0,"""이 할파에서 지금, 랍피가 대량 발생하고있어.<br>게다가, 다양한 종류의 랍피가 한꺼번에！"""
ssn_019080_002_0007#0,"""그래서, 너에게 조사를 부탁하고 싶어.<br>지금, 할파에, 얼마만큼의 랍피가 있는지를！"""
ssn_019080_002_0008#0,"""랍피를 좋아하는 사람만이 가능한, <br>극히 어려운 미션이지！"""
ssn_019080_002_0009#0,"""하지만, 다양한 경험을 쌓아 온<br>너라면 분명 성공 해 줄거라고 믿고있어."""
ssn_019080_002_0010#0,"""너의 랍피에의\""애정\""을<br>보여줘！"""
ssn_019080_002_0011#0,"""잘 봤어！<br>내가 잘못 본게 아니었구나."""
ssn_019080_002_0012#0,"""너 라면, <br>나의 진정한 소원을 이루어 줄 수 있겠구나."""
ssn_019080_002_0013#0,"""실은, 어느 연구데이터로부터, <br>이번 랍피 대 발생은 예측 되어있었어."""
ssn_019080_002_0014#0,"""그에 호응해서, <br>어떤 공간이 출현 할 수 있다고 말해지고 있어……."""
ssn_019080_002_0015#0,"""모든 랍피들이 모이는, <br>\""랍피 집회장\""이！"""
ssn_019080_002_0016#0,"""그래서 , 그 집회장에는, <br>랍피들의 왕이 강림하지！"""
ssn_019080_002_0017#0,"""이것이, 사실이라면 굉장한 발견이야.<br>부디 이 눈으로 보고싶어！"""
ssn_019080_002_0018#0,"""하지만, \""랍피 집회장\""이 등장하는것은, <br>안전한 장소 뿐."""
ssn_019080_002_0019#0,"""\""드레드 에너미が\""배회 하는것 같은 위험한 장소에, <br>랍피들이 모이지는 않겠지."""
ssn_019080_002_0020#0,"""우선은 에너미를 쓰러뜨리고, 주위의 안전을 확보 하고나서, <br>\""랍피 집회장\""을 찾아 봐 주지 않을래！"""
ssn_019080_002_0021#0,"""원래는, 내가 직접 찾고싶지만, <br>일이 밀려있어서, 자리를 비울 수 없겠어."""
ssn_019080_002_0022#0,"""너에게라면, 나의 꿈을 맡길 수 있어.<br>부탁할게."""
ssn_019080_002_0023#0,"""돌아왔구나.<br>\""랍피 집회장\""을 발견 해 줘서 고마워."""
ssn_019080_002_0024#0,"""오랜 나의 숙원이, 드디어 이루어졌다.<br><%me>, 감사합니다."""
ssn_019080_002_0025#0,"""……하지만, 이렇게 되면 욕심이 나는구나.<br>아직 랍피는 많은 비밀에 휩싸여 있어."""
ssn_019080_002_0026#0,"""너는, \""세레모 그레토 랍피\""를<br>만난 적이 있니？"""
ssn_019080_002_0056#0,"""지금 이 시기에만 볼 수 있는, \""세레모 랍피\""의<br>왕 중의 왕이라고 부를 만 한 존재야."""
ssn_019080_002_0027#0,"""지금까지는 발견 된 적이 없어서, 전설의 존재라는 말이 있지만, <br>랍피의 대량 발생이 일어난 지금, 무엇이 일어나도 이상하지 않아！"""
ssn_019080_002_0028#0,"""이\""세레모 그레토 랍피\""를 발견 했다면, <br>알려주지 않겠니."""
ssn_019080_002_0029#0,"""이런 기회는, 두번 다시 없을지도 몰라！<br>잘 부탁해."""
ssn_019080_002_0030#0,"""너와 나의 랍피에 대한 깊은 애정이, <br>분명 기적을 일으키겠지.나는 그걸 믿고있어."""
ssn_019080_002_0031#0,"""……어서와.<br>정말 멋진 시간이었어."""
ssn_019080_002_0032#0,"""이번에는, 내 어리광에<br>어울려 줘서 고마워."""
ssn_019080_002_0033#0,"""이 감사의 기분을, 부디 표시하게 해줘.<br>원하는 것이 있으면 뭐든지 말해줘."""
ssn_019080_002_0034#0,"""내 권한의 범위 내라면, <br>어느정도는 해 줄 수 있을거야."""
ssn_019080_002_0035#0,"""아-아-, 들려？<br>네가, <%me>이지？"""
ssn_019080_002_0036#0,"""아-아-, 들려？<br>오랜만이야, 보급담당 시트레야."""
ssn_019080_002_0037#0,"""갑자기 연락해서 미안해.<br>나는 아크스 보급 담당인 시트레야."""
ssn_019080_002_0038#0,"""아무래도 상사……아,아니, 패피 랍피가<br>폐를 끼쳤다고 들어서."""
ssn_019080_002_0039#0,"""시트레, 나는 지금, <br>둘이서 감동을 나누고 있어서……."""
ssn_019080_002_0040#0,"""다음 보급 계획의 자료, <br>체크 해 주셨어요？"""
ssn_019080_002_0041#0,"""……아직 안봤어……."""
ssn_019080_002_0042#0,"""오늘 중으로 결재 해 주세요."""
ssn_019080_002_0043#0,"""……그런고로, 일이 쌓여있어서, <br>혹시 너에게도 부탁 할 게 있을지도 몰라."""
ssn_019080_002_0044#0,"""미안하지만, 그 때는 잘 부탁해.<br>그럼이만！"""
ssn_019080_002_0045#0,"""어찌 됐든, 이 은혜는 잊지 않을게.<br>무슨 일 있으면, 사양 말고 말해줘."""
ssn_019080_002_0046#0,"""앞으로도 랍피 좋아하는 사람끼리, <br>잘 부탁해!"""
ssn_019080_002_0047#0,"""<%me>.잘 왔어.<br>랍피라이프는 순조롭지？"""
ssn_019080_002_0048#0,"""그건 그렇고, <br>뭔가 교환할래？"""
ssn_019080_002_0049#0,"""\""랍피 집회장\""은<br>아직 찾지 못한 모양이네."""
