name_7430#0,"""후방 지원"""
ssn_014880_0001#0,"""受注可能"""
ssn_014880_0101#0,"""受注しない"""
ssn_014880_0201#0,"""納品する？"""
ssn_014880_0301#0,"""タマネギを10個渡す"""
ssn_014880_0302#0,"""やめる"""
ssn_014880_0401#0,"""ありがとう"""
ssn_014880_0402#0,"""足りね"""
ssn_014880_0403#0,"""あつめたらまた来てね"""
ssn_014880_1001#0,"""受注可能"""
ssn_014880_1101#0,"""受注しない"""
ssn_014880_1201#0,"""納品する？"""
ssn_014880_1301#0,"""ハクサイを10個渡す"""
ssn_014880_1302#0,"""やめる"""
ssn_014880_1401#0,"""ありがとう"""
ssn_014880_1402#0,"""足りね"""
ssn_014880_1403#0,"""あつめたらまた来てね"""
ssn_014880_2001#0,"""受注可能"""
ssn_014880_2101#0,"""受注しない"""
ssn_014880_2201#0,"""納品する？"""
ssn_014880_2301#0,"""レンブを10個渡す"""
ssn_014880_2302#0,"""やめる"""
ssn_014880_2401#0,"""ありがとう"""
ssn_014880_2402#0,"""足りね"""
ssn_014880_2403#0,"""あつめたらまた来てね"""
ssn_014880_2501#0,"""達成後"""
