name_7740#0,"""트랙스탠"""
ssn_015061_0101#0,"""좋아.<br>그럼, 이야기 하도록 하지."""
ssn_015061_0102#0,"""……아, 그 전에, 레이요르드 협만에 관하여, <br>이야기 하지 않으면 안되겠지."""
ssn_015061_0103#0,"""그 강력한 에너미는, <br>그 지역에 있다고 알려져있다."""
ssn_015061_0104#0,"""하지만, 그곳에서 강적과 싸우기 위해서는, <br>추위에의 철저한 대비가 필요하다."""
ssn_015061_0105#0,"""그러한 물품을, <br>물자 관리를 하고있는 레소가 취급하고 있다."""
ssn_015061_0106#0,"""단, 희소한 것이라, <br>역시 무료로 줄 수는 없다."""
ssn_015061_0107#0,"""얻기 위해서는 대가가 필요하다."""
ssn_015061_0108#0,"""준비 해 주었으면 하는 것은, \""노타 크발 갓키\""와, <br>\""노타 크발 스쿠이드\""다."""
ssn_015061_0109#0,"""우선은, \""노타 크발 갓키\""인데, <br>이 식재료를 모으는데는 주의가 필요하다."""
ssn_015061_0110#0,"""북부 크바리스에서 발견되지만, <br>아침에서 낮까지밖에 채집 할 수 없다."""
ssn_015061_0111#0,"""그 외의 시간대에는, <br>품질이 떨어져버리는 모양이다."""
ssn_015061_0112#0,"""시간을 잘 확인하고, <br>채집 해 주게."""
