name_7431#0,"""바스코"""
ssq_014895_0010#0,"""도착 하셨나요."""
ssq_014895_0020#0,"""좋아요.<br>여기라면 확실히 관찰할 수 있어요."""
ssq_014895_0030#0,"""무얼 보냐고요?"""
ssq_014895_0040#0,"""위에요 위! 저 하늘에 떠다니는,<br>거대한 구조물이 이번 조사 대상입니다."""
ssq_014895_0050#0,"""저것이 무엇인지는 아무도 모릅니다."""
ssq_014895_0060#0,"""오래전부터 있었고,<br>일부 연구자들은 \""부유도\""라고 부르고 있습니다."""
ssq_014895_0070#0,"""그 정체에 대해, 오래전부터 연구해 왔습니다만,<br>무엇 하나 밝혀지지 않았습니다."""
ssq_014895_0080#0,"""저희 기술로는 저곳에 갈 수 없으니깐요.<br>그러니까 조금이라도 가까이서 관찰할 수 있으면 해서…."""
ssq_014895_0090#0,"""…음<br>슬슬 데이터 획득이 끝나가네요."""
ssq_014895_0100#0,"""정말 감사합니다.<br>캠프로 돌아와 주시겠어요."""
