name_7746#0,"""아티"""
ssn_015180_0001#0,"""트레이니아 어드밴스を活用しているかい?"""
ssn_015180_0002#0,"""너는 제법 소질이 있어.<br>그 기세로 한층 더 실력을 키워줘."""
ssn_015180_0101#0,"""キミか.いいところに.<br>話したいことがあるんだ."""
ssn_015180_0102#0,"""前に, 캐논볼 ランブルに<br>挑んでもらったことは覚えているな?"""
ssn_015180_0103#0,"""実は, 트레이니아 어드밴스は, <br>ほかにもまだあるんだ."""
ssn_015180_0104#0,"""どうだい, 詳しく知りたくないかい?"""
ssn_015180_0201#0,"""캐논볼 ストライクは, <br>的あてのタイミングが重要だ."""
ssn_015180_0202#0,"""頑張ってくれ."""
ssn_015180_0301#0,"""そうか, また来いよ."""
ssn_015180_0401#0,"""트레이니아 어드밴스を活用しているか?"""
ssn_015180_0402#0,"""너에겐 기대하고 있어.<br>これからも, ますます腕を磨いていってくれ."""
