IncidentName#0,"""巨顔弾を全て破壊せよ"""
TrialBeginMsg#0,"""巨顔弾を全て破壊せよ"""
TrialAbstract#0,"""Destruye el specified number of Visage Spheres."""
NpcComOnBegin#0,"""『禍津』の両肩から異常な反応を確認。<br>顔弾による唱壁門へ攻撃が予想されます<br>各員は速やかに顔弾の破壊を。"""
NpcComOnSuccess#0,"""全ての顔弾の破壊を確認。<br>各員、引き続き戦闘の継続を。"""
NpcComOnFailure#0,"""/face4 唱壁門への被害を確認。<br>対処失敗ですが、仕方がありません。<br>各員、引き続き戦闘の継続を。"""
NpcComOnBegin#1,"""『禍津』の両肩から異常な反応を確認。<br>顔弾による唱壁門へ攻撃が予想されます<br>各員は速やかに顔弾の破壊を。"""
NpcComOnSuccess#1,"""全ての顔弾の破壊を確認。<br>各員、引き続き戦闘の継続を。"""
NpcComOnFailure#1,"""/face4 唱壁門への被害を確認。<br>対処失敗ですが、仕方がありません。<br>各員、引き続き戦闘の継続を。"""
NpcComOnBegin#2,"""『禍津』の両肩から異常な反応を確認。<br>顔弾による唱壁門へ攻撃が予想されます<br>各員は速やかに顔弾の破壊を。"""
NpcComOnSuccess#2,"""全ての顔弾の破壊を確認。<br>各員、引き続き戦闘の継続を。"""
NpcComOnFailure#2,"""/face4 唱壁門への被害を確認。<br>対処失敗ですが、仕方がありません。<br>各員、引き続き戦闘の継続を。"""
NpcComOnBegin#3,"""『禍津』の両肩から異常な反応を確認。<br>巨顔弾による大唱壁門への攻撃を予想。<br>各員は<red>速やかに巨顔弾の破壊<black>を。"""
NpcComOnSuccess#3,"""全ての巨顔弾の破壊を確認。<br>各員、引き続き戦闘の継続を。"""
NpcComOnFailure#3,"""/face4 唱壁門への被害を確認。<br>対処失敗ですが、仕方がありません。<br>各員、引き続き戦闘の継続を。"""
