IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0)!"""
NpcComOnBegin#0,"""Attention, all active ARKS members!<br>Quickly join forces and work<br>to eliminate enemy forces in the area!"""
NpcComOnSuccess#0,"""/face2 Great work!<br>You worked well together!"""
NpcComOnBeginP1#0,"""The Support Partner belonging to<br>$(0) is being attacked<br>by hostiles! Please assist!"""
NpcComOnBeginP2#0,"""Eliminate the hostiles in the area and ensure the Support Partner's safety."""
NpcComOnBegin#1,"""ARKS battle readings detected<br>nearby. Join them and work<br>together to repel nearby enemies."""
NpcComOnSuccess#1,"""Confirmed, enemy forces<br>annihilated. Cooperation has<br>yielded wonderful results."""
NpcComOnBeginP1#1,"""$(0)'s Support Partner is under attack by enemies."""
NpcComOnBeginP2#1,"""Eliminate nearby enemies<br>and ensure its safety."""
NpcComOnBegin#2,"""<%me>!<br>There are ARKS engaged in battle<br>nearby! Link up with them, then<br>work together to defeat the enemy!"""
NpcComOnSuccess#2,"""Thanks for your hard work!<br>Under the circumstances, you<br>worked together very well!"""
NpcComOnBeginP1#2,"""$(0)'s Support Partner is being attacked! Please help it!"""
NpcComOnBeginP2#2,"""Defeat the nearby enemies and<br>ensure its safety! Thanks in advance!"""
