IncidentName#0,"""Gift of the Storm"""
TrialBeginMsg#0,"""Make Mr. Umblla happy!<br>Succeed by receiving one of his attacks!"""
TrialAbstract#0,"""Get hit by Mr. Umblla!"""
TrialFailureAttack#0,"""Mr. Umblla misses 3 attacks."""
TrialFailureMiss#0,"""Mr. Umblla missed with 5 attacks."""
NpcComOnBegin#0,"""/face2 It's Mr. Umblla. It seems he'll give<br>you a gift if you let him hit you."""
NpcComOnSuccess#0,"""/face2 Mr. Umblla is happy. Did you<br>receive anything from him?<br>Now, continue your mission."""
NpcComOnFailure#0,"""/face6 Mr. Umblla is angry. This is a<br>dangerous situation. All ARKS,<br>evacuate the area immediately."""
NpcComOnPreBegin#0,"""A weird energy signature is approaching! <br>Please be careful!"""
NpcComOnBegin#1,"""/face2 This is Mr. Umblla. It seems that<br>being hit by him carries a benefit."""
NpcComOnSuccess#1,"""/face2 Mr. Umblla is happy. Do you<br>believe you have benefited?<br>Now, continue with your mission."""
NpcComOnFailure#1,"""/face6 It seems Mr. Umblla's mood has<br>soured. There is nothing more we<br>can do. All ARKS, clear the area."""
NpcComOnPreBegin#1,"""A new heat source is approaching.<br>Whoa, it's huge!"""
NpcComOnBegin#2,"""/face2 It's Umblla! It's Mr. Umblla!<br>If you let him hit you, will he answer your prayers?"""
NpcComOnSuccess#2,"""/face2 Mr. Umblla is so happy!<br>Were any of your prayers answered?<br>Please continue with the mission."""
NpcComOnFailure#2,"""/face6 Mr. Umblla has been angered...<br>Well, it can't be helped.<br>Please, hurry up and escape."""
StruckUmblla#0,"""/face3 Don't do that!<br>Please don't attack Mr. Umblla!<br>His mood has soured!"""
BeStruckByUmblla#0,"""Are you okay?<br>One more, just hold out for one more!"""
NpcComOnPreBegin#2,"""Wow, what an incredible heat source!<br>P-please be careful!"""
NpcComOnPreBegin#3,"""An enemy has been detected.<br>Please pay close attention to your surroundings."""
NpcComOnBegin#3,"""/face2 This reading, it's Mr. Umblla! He'll<br>give you a gift if you let him hit you!"""
NpcComOnSuccess#3,"""/face2 Mr. Umblla looks happy. Did<br>you get anything from him?"""
NpcComOnFailure#3,"""/face6 Mr. Umblla is angry. This could<br>be dangerous. Please take<br>cover until he calms down."""
NpcComOnPreBegin#4,"""Please be careful!<br>A strange heat source has been detected!"""
NpcComOnBegin#4,"""/face2 Oh my, it's Mr. Umblla!<br>If you let him hit you, you might get something good!"""
NpcComOnSuccess#4,"""/face2 Mr. Umblla looks happy!<br>I'm sure you'll get something good from him now!"""
NpcComOnFailure#4,"""/face6 Mr. Umblla seems angry!<br>There's nothing we can do about it now.<br>Get away from him as soon as possible."""
NpcComOnPreBegin#5,"""Please be careful!<br>A strange heat source has been detected!"""
NpcComOnBegin#5,"""/face2 Oh my, it's Mr. Umblla!<br>If you let him hit you, you might get something good!"""
NpcComOnSuccess#5,"""/face2 Mr. Umblla looks happy!<br>I'm sure you'll get something good from him now!"""
NpcComOnFailure#5,"""/face6 Mr. Umblla seems angry!<br>There's nothing we can do about it now.<br>Get away from him as soon as possible."""
