IncidentName#0,"""Extermina a todos los Objetivos!"""
TrialBeginMsg#0,"""¡Derrota a todos los enemigos!"""
TrialAbstract#0,"""¡Derrota a todos los enemigos!"""
NpcComOnPreBegin#0,"""Nyau está escapando... ¡Espera! Su retiro está causando algún tipo de... ¡Distorsión espacial!, ¡Por favor, tenga cuidado!"""
NpcComOnBegin#0,"""Los enemigos han aparecido. Por favor, se que todos ustedes estan en otra batalla, pero necesitamos interceptarlos."""
NpcComOnEnemyDead#0,"""Uno de los enemigos ha sido derrotado. Falta uno mas."""
NpcComOnSuccess#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnPreBegin_Other#0,"""Nyau está escapando... ¡Espera! Su retiro está causando algún tipo de... ¡Distorsión espacial!, ¡Por favor, tenga cuidado!"""
NpcComOnBegin_Other#0,"""Los enemigos han aparecido. Por favor, se que todos ustedes estan en otra batalla, pero necesitamos interceptarlos."""
NpcComOnEnemyDead_Other#0,"""Uno de los enemigos ha sido derrotado. Falta uno mas."""
NpcComOnSuccess_Other#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnPreBegin_Darker#0,"""Nyau está escapando... ¡Espera! Su retiro está causando algún tipo de... ¡Distorsión espacial!, ¡Por favor, tenga cuidado!"""
NpcComOnBegin_Darker#0,"""Los enemigos han aparecido. Por favor, se que todos ustedes estan en otra batalla, pero necesitamos interceptarlos."""
NpcComOnEnemyDead_Darker#0,"""Uno de los enemigos ha sido derrotado. Falta uno mas."""
NpcComOnSuccess_Darker#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnPreBegin#1,"""Nyau se escapo... Espera, ¿Qué? Estamos recogiendo una distorsión en el espacio por donde escapo. Cuidado, ¡Algo viene!"""
NpcComOnBegin#1,"""Tch, que dolor. Preparese para luchar, un hostil que acába de aparecer!"""
NpcComOnEnemyDead#1,"""Eso es un hostil menos. Sigue asi."""
NpcComOnSuccess#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
