IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0)!"""
NpcComOnPreBegin#0,"""A powerful heat source<br>is approaching! Please,<br>pay attention!"""
NpcComOnBegin#0,"""Emergency directive! Defeat<br>the newly-arrived enemy!"""
NpcComOnSuccess#0,"""Confirmed defeat of the<br>$(0). Thank<br>you for your cooperation."""
NpcComOnPreBegin#1,"""Getting powerful heat source<br>readings from this thing. Don't<br>let your guard down, this is huge."""
NpcComOnBegin#1,"""Confirming a new hostile reading<br>approaching! Stay vigilant!"""
NpcComOnSuccess#1,"""Target defeat confirmed. All ARKS,<br>return to your normal duties."""
NpcComOnPreBegin#2,"""This heat source sure<br>is strange! Please<br>be extra careful!"""
NpcComOnBegin#2,"""W-w-waah! Something<br>new?! This close?!"""
NpcComOnSuccess#2,"""I-it looks like you were<br>able to destroy the target.<br>Phew, I'm so relieved..."""
NpcComOnPreBegin#3,"""Remain vigilant. A powerful<br>reading has been detected."""
NpcComOnBegin#3,"""Emergency directive. A new hostile<br>reading is approaching. Destroy it."""
NpcComOnSuccess#3,"""Target defeated. Excellent response."""
NpcComOnPreBegin#4,"""Please be careful!<br>A strange heat source has been detected!"""
NpcComOnBegin#4,"""Emergency directive! We've<br>confirmed a powerful enemy<br>reading! Hurry and deal with it!"""
NpcComOnSuccess#4,"""Confirmed, hostile readings have<br>disappeared! Good work, everyone!"""
