IncidentName#0,"""Defeat the Unidentified Phantoms!"""
TrialBeginMsg#0,"""Defeat all the unidentified organisms within the time limit!"""
TrialAbstract#0,"""Defeat unidentified organisms within the time limit!"""
NpcComOnBegin#0,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#0,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#0,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#0,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#0,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#1,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#1,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#1,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#1,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#1,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#2,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#2,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#2,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#2,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#2,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#3,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#3,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#3,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#3,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#3,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#4,"""Mysterious creatures unlike any seen on Earth are flying around in the air!<br>Defeat them here to avert potential mayhem!"""
NpcComOnBeginNext#0,"""Those creatures manipulate Ether to nullify attacks while they're moving! Wait until they stop moving!"""
NpcComOnSuccess#4,"""The mysterious creatures have disappeared! Their Ether is diffusing!<br>...What on Earth were they?"""
NpcComOnFailure#4,"""They've escaped...<br>We can't track them any more, so please return to your normal mission."""
NpcComOnHalf#4,"""Only half of the targets are left!<br>Keep fighting until you get them all!"""
NpcComOnLastOne#4,"""Just one target left!<br>...Its movements seem to have changed. Be careful!"""
